id_parlamentar_voz,id_partido,id_tema,faltou,partido_liberou,nao_seguiu,seguiu,aderencia
1109429,36846,99,1,15,0,0,-1
1115746,36793,99,2,14,0,0,-1
1146788,36793,99,9,15,0,0,-1
1168175,37904,99,1,1,0,0,-1
1178887,36779,99,3,13,0,0,-1
1204427,36793,99,0,16,0,0,-1
1204432,36846,99,0,16,0,0,-1
1204448,37902,99,1,17,0,0,-1
1204448,36852,99,9,66,0,0,-1
1204463,36824,99,4,12,0,0,-1
1204510,36793,99,2,16,0,0,-1
1204517,36801,99,3,20,0,0,-1
1204554,36793,99,1,15,0,0,-1
1204567,36824,99,1,15,0,0,-1
174141,36844,99,18,0,0,0,-1
174459,36832,99,7,1,62,23,0.27058823529411763
1160518,36763,99,8,37,33,15,0.3125
1161550,36832,99,35,2,34,22,0.39285714285714285
1204371,36832,99,15,2,46,30,0.39473684210526316
1204366,36832,99,9,2,48,34,0.4146341463414634
1204543,36832,99,11,1,44,37,0.45679012345679015
1178953,36834,99,20,9,32,32,0.5
1204385,36833,99,39,32,11,11,0.5
1204534,36786,99,44,10,19,20,0.5128205128205128
1204553,36898,99,22,31,18,22,0.55
169871,36896,99,18,28,21,26,0.5531914893617021
1204393,36844,99,22,0,31,40,0.5633802816901409
1204397,36763,99,20,29,19,25,0.5681818181818182
1178931,36832,99,32,2,25,34,0.576271186440678
174273,36832,99,42,1,21,29,0.58
1204515,36898,99,9,43,16,25,0.6097560975609756
174200,36763,99,16,18,16,25,0.6097560975609756
1204403,36786,99,27,9,22,35,0.6140350877192983
1204525,36832,99,9,0,30,54,0.6428571428571429
1204530,36832,99,10,1,29,53,0.6463414634146342
1178835,36786,99,12,11,24,46,0.657142857142857
1178939,36763,99,52,23,6,12,0.6666666666666665
174585,37906,99,16,19,19,39,0.6724137931034483
1160655,37903,99,24,3,21,45,0.6818181818181818
1160589,36835,99,79,1,4,9,0.6923076923076923
172442,36832,99,27,1,20,45,0.6923076923076923
1204570,36801,99,8,65,3,7,0.7
1204435,36786,99,29,8,16,40,0.7142857142857143
1204499,36832,99,7,1,24,61,0.7176470588235294
1160552,36834,99,40,6,13,34,0.723404255319149
1204571,36786,99,32,10,14,37,0.7254901960784313
1177282,36786,99,38,6,13,36,0.7346938775510204
1204430,37903,99,22,3,18,50,0.7352941176470589
1204353,36815,99,51,15,7,20,0.7407407407407408
1204575,36786,99,36,10,12,35,0.7446808510638298
1178920,36896,99,33,20,10,30,0.75
1204472,36896,99,28,22,10,33,0.7674418604651163
1160601,36896,99,16,27,11,39,0.78
1204488,36851,99,2,36,12,43,0.7818181818181819
168720,36786,99,12,10,15,56,0.7887323943661971
1178882,37903,99,73,1,4,15,0.7894736842105263
1204405,36832,99,15,2,16,60,0.7894736842105263
1204505,36815,99,13,18,13,49,0.7903225806451613
1160653,36896,99,41,18,7,27,0.7941176470588235
1204383,36851,99,25,24,9,35,0.7954545454545454
1141531,36835,99,17,18,11,47,0.8103448275862069
1205476,36834,99,5,8,15,65,0.8125
1204359,36896,99,9,25,11,48,0.8135593220338984
1204466,36835,99,32,18,8,35,0.813953488372093
1204573,36834,99,9,8,14,62,0.8157894736842105
1178925,36844,99,33,0,11,49,0.8166666666666668
