cnpj,id_atividade_economica,cnae_tipo
00044180000103,5,cnae_fiscal
00063822000111,45,cnae_fiscal
00071556000179,4,cnae_fiscal
00071556000179,5,cnae_secundario
00071556000179,11,cnae_secundario
00071556000179,43,cnae_secundario
00071556000179,4,cnae_secundario
00071556000250,4,cnae_fiscal
00071556000250,4,cnae_secundario
00071556000330,4,cnae_fiscal
00071556000330,4,cnae_secundario
00071556000411,4,cnae_fiscal
00071556000411,4,cnae_secundario
00071556000500,4,cnae_fiscal
00071556000500,4,cnae_secundario
00071556000683,4,cnae_fiscal
00071556000683,4,cnae_secundario
00071556000764,5,cnae_fiscal
00071556000764,11,cnae_secundario
00071556000764,4,cnae_secundario
00071556000845,4,cnae_fiscal
00071556000926,4,cnae_fiscal
00071556001060,4,cnae_fiscal
00071556001140,4,cnae_fiscal
00071556001221,4,cnae_fiscal
00071556001302,43,cnae_fiscal
00071856000158,39,cnae_fiscal
00079903000100,13,cnae_fiscal
00079903000100,13,cnae_secundario
00079903000100,18,cnae_secundario
00079903000290,13,cnae_fiscal
00111437000100,8,cnae_fiscal
00132263000154,43,cnae_fiscal
00188544000129,13,cnae_fiscal
00209028000133,18,cnae_fiscal
00209028000133,7,cnae_secundario
00217624000165,13,cnae_fiscal
00217624000165,13,cnae_secundario
00217624000165,9,cnae_secundario
00217624000165,11,cnae_secundario
00223924000157,8,cnae_fiscal
00298270000120,8,cnae_fiscal
00298270000201,8,cnae_fiscal
00298270000201,8,cnae_secundario
00298270000392,8,cnae_fiscal
00298270000392,8,cnae_secundario
00298270000473,8,cnae_fiscal
00298270000473,8,cnae_secundario
00298270000554,8,cnae_fiscal
00298270000554,8,cnae_secundario
00298270000635,8,cnae_fiscal
00298270000635,8,cnae_secundario
00298270000716,8,cnae_fiscal
00298270000716,8,cnae_secundario
00298270000805,8,cnae_fiscal
00298270000805,8,cnae_secundario
00298270000988,8,cnae_fiscal
00298270000988,8,cnae_secundario
00298270001011,8,cnae_fiscal
00298270001011,8,cnae_secundario
00298270001100,8,cnae_fiscal
00298270001100,8,cnae_secundario
00298270001283,8,cnae_fiscal
00298270001283,8,cnae_secundario
00298270001364,8,cnae_fiscal
00298270001364,8,cnae_secundario
00298270001445,8,cnae_fiscal
00298270001526,8,cnae_fiscal
00298270001526,8,cnae_secundario
00298270001607,8,cnae_fiscal
00298270001607,8,cnae_secundario
00298270001798,8,cnae_fiscal
00298270001798,8,cnae_secundario
00298270001879,8,cnae_fiscal
00298270002093,8,cnae_fiscal
00298270002093,8,cnae_secundario
00298270002174,8,cnae_fiscal
00298270002174,8,cnae_secundario
00392640000194,43,cnae_fiscal
00392640000194,43,cnae_secundario
00411565000161,5,cnae_fiscal
00428502000118,12,cnae_fiscal
00428502000118,12,cnae_secundario
00544478000182,10,cnae_fiscal
00544991000173,45,cnae_fiscal
00623572000127,11,cnae_fiscal
00707400000131,31,cnae_fiscal
00726447000142,45,cnae_fiscal
00768072000183,45,cnae_fiscal
00837433000104,5,cnae_fiscal
00856899000149,6,cnae_fiscal
00856899000149,6,cnae_secundario
00856899000220,6,cnae_fiscal
00856899000220,6,cnae_secundario
00864206000160,11,cnae_fiscal
00936544000160,47,cnae_fiscal
00936544000240,11,cnae_fiscal
00936544000321,11,cnae_fiscal
00955976000118,4,cnae_fiscal
00988631000160,45,cnae_fiscal
00988631000160,45,cnae_secundario
01036529000128,47,cnae_fiscal
01036529000128,47,cnae_secundario
01036529000209,47,cnae_fiscal
01036529000209,47,cnae_secundario
01036529000390,47,cnae_fiscal
01036529000390,47,cnae_secundario
01036529000470,47,cnae_fiscal
01036529000470,47,cnae_secundario
01036529000551,47,cnae_fiscal
01036529000551,47,cnae_secundario
01036529000632,47,cnae_fiscal
01036529000632,47,cnae_secundario
01040305000190,43,cnae_fiscal
01040305000190,43,cnae_secundario
01084687000153,43,cnae_fiscal
01084687000153,43,cnae_secundario
01131627000144,43,cnae_fiscal
01133679000150,11,cnae_fiscal
01133679000150,47,cnae_secundario
01133679000150,11,cnae_secundario
01133679000150,28,cnae_secundario
01133679000230,47,cnae_fiscal
01133679000230,11,cnae_secundario
01170814000137,11,cnae_fiscal
01173204000197,11,cnae_fiscal
01250348000108,13,cnae_fiscal
01250348000108,13,cnae_secundario
01280354000108,39,cnae_fiscal
01310463000112,43,cnae_fiscal
01318076000122,43,cnae_fiscal
01357062000118,14,cnae_fiscal
01357062000118,10,cnae_secundario
01357062000118,14,cnae_secundario
01361237000160,11,cnae_fiscal
01362689000167,43,cnae_fiscal
01374629000164,10,cnae_fiscal
01457661000103,11,cnae_fiscal
01460690000124,43,cnae_fiscal
01460690000124,43,cnae_secundario
01488996000199,39,cnae_fiscal
01518155000187,11,cnae_fiscal
01518155000187,11,cnae_secundario
01518155000268,11,cnae_fiscal
01518155000268,11,cnae_secundario
