id_parlamentar_voz,casa,cargo,data_inicio,data_fim,legislatura
174693,camara,Presidente,2019-02-01,NA,56
174158,camara,2º Secretário,2019-02-01,NA,56
1178951,camara,1º Suplente de Secretário,2019-02-01,NA,56
1141428,camara,3º Secretário,2019-02-01,NA,56
1178966,camara,2º Suplente de Secretário,2019-02-01,NA,56
174478,camara,2º Vice-Presidente,2019-02-01,NA,56
1159237,camara,4º Suplente de Secretário,2019-02-01,NA,56
1204436,camara,3º Suplente de Secretário,2019-02-01,NA,56
1178882,camara,4º Secretário,2019-02-01,NA,56
1178946,camara,1º Secretário,2019-02-01,NA,56
1204506,camara,1º Vice-Presidente,2019-02-01,NA,56
23830,senado,Presidente,NA,NA,56
25529,senado,1º Vice-Presidente,NA,NA,56
25533,senado,2º Vice-Presidente,NA,NA,56
24560,senado,1º Secretário,NA,NA,56
23777,senado,2º Secretário,NA,NA,56
25894,senado,3º Secretário,NA,NA,56
21186,senado,4º Secretário,NA,NA,56
25942,senado,1º Suplente,NA,NA,56
25411,senado,2º Suplente,NA,NA,56
2581,senado,3º Suplente,NA,NA,56
25979,senado,4º Suplente,NA,NA,56
