id_comissao_voz,id,casa,sigla,nome
12001,2001,camara,CAPADR,"Comissão De Agricultura, Pecuária, Abastecimento E Desenvolvimento Rural"
12002,2002,camara,CCTCI,"Comissão De Ciência E Tecnologia, Comunicação E Informática"
12003,2003,camara,CCJC,Comissão De Constituição E Justiça E De Cidadania
12004,2004,camara,CDC,Comissão De Defesa Do Consumidor
12006,2006,camara,CDU,Comissão De Desenvolvimento Urbano
12007,2007,camara,CDHM,Comissão De Direitos Humanos E Minorias
12008,2008,camara,CDEICS,"Comissão De Desenvolvimento Econômico, Indústria, Comércio E Serviços"
12009,2009,camara,CE,Comissão De Educação
1102375,102375,camara,CE,Secretaria Do Desenvolvimento Agrário Do Estado Do Ceará
12010,2010,camara,CFT,Comissão De Finanças E Tributação
12011,2011,camara,CFFC,Comissão De Fiscalização Financeira E Controle
12012,2012,camara,CME,Comissão De Minas E Energia
12014,2014,camara,CSSF,Comissão De Seguridade Social E Família
12015,2015,camara,CTASP,"Comissão De Trabalho, De Administração E Serviço Público"
12016,2016,camara,CVT,Comissão De Viação E Transportes
12017,2017,camara,CINDRA,"Comissão De Integração Nacional, Desenvolvimento Regional E Da Amazônia"
12018,2018,camara,CREDN,Comissão De Relações Exteriores E De Defesa Nacional
15438,5438,camara,CLP,Comissão De Legislação Participativa
15503,5503,camara,CSPCCO,Comissão De Segurança Pública E Combate Ao Crime Organizado
16066,6066,camara,CTUR,Comissão De Turismo
16174,6174,camara,CMADS,Comissão De Meio Ambiente E Desenvolvimento Sustentável
1536996,536996,camara,CCULT,Comissão De Cultura
1537236,537236,camara,CESPO,Comissão Do Esporte
1537480,537480,camara,CPD,Comissão De Defesa Dos Direitos Das Pessoas Com Deficiência
1537870,537870,camara,CMULHER,Comissão De Defesa Dos Direitos Da Mulher
1537871,537871,camara,CIDOSO,Comissão De Defesa Dos Direitos Da Pessoa Idosa
238,38,senado,CAE,Comissão De Assuntos Econômicos
240,40,senado,CAS,Comissão De Assuntos Sociais
234,34,senado,CCJ,"Comissão De Constituição, Justiça E Cidadania"
21363,1363,senado,CCT,"Comissão De Ciência, Tecnologia, Inovação, Comunicação E Informática"
2834,834,senado,CDH,Comissão De Direitos Humanos E Legislação Participativa
21306,1306,senado,CDR,Comissão De Desenvolvimento Regional E Turismo
247,47,senado,CE,"Comissão De Educação, Cultura E Esporte"
259,59,senado,CI,Comissão De Serviços De Infraestrutura
250,50,senado,CMA,Comissão De Meio Ambiente
21307,1307,senado,CRA,Comissão De Agricultura E Reforma Agrária
254,54,senado,CRE,Comissão De Relações Exteriores E Defesa Nacional
21716,1716,senado,CSF,Comissão Senado Do Futuro
21956,1956,senado,CTFC,"Comissão De Transparência, Governança, Fiscalização E Controle E Defesa Do Consumidor"
