cnpj,razao_social
00044180000103,CLUBE DO CONGRESSO
00063822000111,FRENTE PARLAMENTAR DA SAUDE
00071556000179,ROMA HOTEIS E REALIZACOES LTDA
00071556000250,ROMA HOTEIS E REALIZACOES LTDA
00071556000330,ROMA HOTEIS E REALIZACOES LTDA
00071556000411,ROMA HOTEIS E REALIZACOES LTDA
00071556000500,ROMA HOTEIS E REALIZACOES LTDA
00071556000683,ROMA HOTEIS E REALIZACOES LTDA
00071556000764,ROMA HOTEIS E REALIZACOES LTDA
00071556000845,ROMA HOTEIS E REALIZACOES LTDA
00071556000926,ROMA HOTEIS E REALIZACOES LTDA
00071556001060,ROMA HOTEIS E REALIZACOES LTDA
00071556001140,ROMA HOTEIS E REALIZACOES LTDA
00071556001221,ROMA HOTEIS E REALIZACOES LTDA
00071556001302,ROMA HOTEIS E REALIZACOES LTDA
00071856000158,EDITORA JORNALISTICA NOTICIOSO LTDA
00079903000100,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA
00079903000290,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA
00111437000100,CITY FACTORING FOMENTO COMERCIAL LTDA
00132263000154,COMISSAO EXEC MUNICIPAL DO PARTIDO DOS TRABALHADORES
00188544000129,BECSUL EMPREEND E INCORPORACOES IMOBILIARIAS LTDA
00209028000133,MINERADORA PEDRA LISA LTDA
00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA
00223924000157,COOPERATIVA HABITACIONAL COMERCIARIOS ESTADO SAO PAULO
00298270000120,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000201,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000392,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000473,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000554,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000635,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000716,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000805,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270000988,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001011,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001100,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001283,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001364,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001445,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001526,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001607,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001798,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270001879,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270002093,BRASIFACTOR FOMENTO COMERCIAL LTDA
00298270002174,BRASIFACTOR FOMENTO COMERCIAL LTDA
00392640000194,CENTRO DE ESTUDOS POLITICOS E SOCIAIS JOSE E.V.RADUAN
00411565000161,PROMOV EVENTOS E COMERCIO LTDA
00428502000118,PXANT'S INDUSTRIA E COM DE CONFECCOES LTDA
00544478000182,CONSULTHABIL CONTADORES S/S
00544991000173,CLUBE DE ROMA GOIANIA
00623572000127,CIMENTO IRAMAIA LTDA
00707400000131,THERMAS DE GOIAS MINERADORA LTDA
00726447000142,CAIXA ESCOLAR CORACAO DE MAE
00768072000183,POLICLINICA SANTA LUCIA LTDA
00837433000104,ESCOLA BRASILEIRA DE REIKI LTDA
