cnpj,id_parlamentar_voz,data_entrada_sociedade
00044180000103,174419,2014-10-14
00063822000111,173891,2009-07-23
00071556000179,1166402,1994-05-02
00071556000250,1166402,1994-05-02
00071556000330,1166402,1994-05-02
00071556000411,1166402,1994-05-02
00071556000500,1166402,1994-05-02
00071556000683,1166402,1994-05-02
00071556000764,1166402,1994-05-02
00071556000845,1166402,1994-05-02
00071556000926,1166402,1994-05-02
00071556001060,1166402,1994-05-02
00071556001140,1166402,1994-05-02
00071556001221,1166402,1994-05-02
00071556001302,1166402,1994-05-02
00071856000158,1179001,1998-01-29
00079903000100,1141458,2014-08-05
00079903000290,1141458,2014-08-05
00111437000100,2742,1994-07-13
00132263000154,174161,2005-09-12
00188544000129,1204399,1999-12-16
00209028000133,1166402,1999-04-06
00217624000165,1160545,2010-06-21
00223924000157,1204485,2018-06-26
00298270000120,174478,2016-06-21
00298270000201,174478,2016-06-21
00298270000392,174478,2016-06-21
00298270000473,174478,2016-06-21
00298270000554,174478,2016-06-21
00298270000635,174478,2016-06-21
00298270000716,174478,2016-06-21
00298270000805,174478,2016-06-21
00298270000988,174478,2016-06-21
00298270001011,174478,2016-06-21
00298270001100,174478,2016-06-21
00298270001283,174478,2016-06-21
00298270001364,174478,2016-06-21
00298270001445,174478,2016-06-21
00298270001526,174478,2016-06-21
00298270001607,174478,2016-06-21
00298270001798,174478,2016-06-21
00298270001879,174478,2016-06-21
00298270002093,174478,2016-06-21
00298270002174,174478,2016-06-21
00392640000194,1141391,2005-09-12
00411565000161,1204358,1997-03-05
00428502000118,1178993,1997-10-17
00544478000182,24770,1979-10-26
00544991000173,1166402,2005-09-12
00623572000127,1160666,1995-05-25
00707400000131,1166402,1995-06-13
00726447000142,1160598,2005-09-12
00768072000183,1204406,1995-05-08
00837433000104,1204374,1998-03-19
00856899000149,174478,2000-07-07
00856899000220,174478,2000-07-07
00864206000160,1204389,1995-10-17
00936544000160,1204415,1998-01-16
00936544000240,1204415,1998-01-16
00936544000321,1204415,1998-01-16
00955976000118,174478,1996-12-13
00988631000160,1204447,2005-09-12
01036529000128,174478,2000-03-17
01036529000209,174478,2000-03-17
01036529000390,174478,2000-03-17
01036529000470,174478,2000-03-17
01036529000551,174478,2000-03-17
01036529000632,174478,2000-03-17
01040305000190,173441,2005-09-12
01084687000153,1166402,2005-09-12
01131627000144,1178956,2017-12-18
01133679000150,1204363,1996-04-01
01133679000230,1204363,1996-04-01
01173204000197,1204390,2002-12-19
01250348000108,1166402,2000-12-27
01280354000108,173788,1996-07-01
01310463000112,1178912,2019-06-28
01318076000122,1141459,2005-09-12
01357062000118,1204543,1998-05-14
01361237000160,1204465,1985-11-25
01362689000167,1178910,2005-09-12
01374629000164,1204351,2005-09-12
01457661000103,1160512,1996-08-30
01460690000124,1204390,2005-09-12
01488996000199,1141459,1996-07-12
01518155000187,1160600,1996-07-29
01518155000268,1160600,1996-07-29
01533953000188,1204528,1996-11-14
01591815000155,1204527,1996-12-13
01615206000199,1160569,1997-01-10
01629193000107,181297,1997-01-08
01642347000109,1204386,2018-10-29
01643468000167,1141459,1997-01-14
01665333000100,192699,1997-01-08
01700694000132,1204451,1997-03-03
01753713000199,1166402,1997-04-10
01771386000106,1204436,1998-09-30
01846246000141,174383,1997-05-14
01865584000120,192699,1997-05-22
01879332000150,1109429,1997-06-06
01882701000164,1204516,2003-04-29
01889980000198,1204422,1996-10-29
01914786000115,1178954,2000-08-23
01941165000120,1116379,1997-05-05
01988803000169,1204436,1997-07-24
02018779000106,1178994,1997-07-28
02062530000190,1204543,2008-04-09
02062530000270,1204543,2008-04-09
02071280000154,1166402,1975-11-19
02108895000108,1178876,1997-02-01
02142603000153,181297,1997-09-11
02142603000234,181297,1997-09-11
02148709000164,1154178,2005-09-12
02167740000142,1166402,2005-09-12
02212596000119,1204474,1997-11-05
02249201000152,174400,2007-09-19
02254838000137,1204496,2013-01-08
02270243000175,1178895,1997-12-04
02270243000256,1178895,1997-12-04
02270243000337,1178895,1997-12-04
02270243000418,1178895,1997-12-04
02284642000195,174554,2011-05-10
02297980000161,167138,1997-12-26
02297980000161,2739,1997-12-26
02297980000242,167138,1997-12-26
02297980000242,2739,1997-12-26
02297980000323,167138,1997-12-26
02297980000323,2739,1997-12-26
02297980000404,167138,1997-12-26
02297980000404,2739,1997-12-26
02297980000595,167138,1997-12-26
02297980000595,2739,1997-12-26
02297980000676,167138,1997-12-26
02297980000676,2739,1997-12-26
02297980000757,167138,1997-12-26
02297980000757,2739,1997-12-26
02297980000838,167138,1997-12-26
02297980000838,2739,1997-12-26
02297980000919,167138,1997-12-26
02297980000919,2739,1997-12-26
02297980001052,167138,1997-12-26
02297980001052,2739,1997-12-26
02297980001133,167138,1997-12-26
02297980001133,2739,1997-12-26
02297980001214,167138,1997-12-26
02297980001214,2739,1997-12-26
02297980001303,167138,1997-12-26
02297980001303,2739,1997-12-26
02297980001486,167138,1997-12-26
02297980001486,2739,1997-12-26
02308967000160,1209189,1998-01-06
02322538000148,1204406,2005-09-12
02333505000101,1166402,1998-01-12
02333505000284,1166402,1998-01-12
02333505000365,1166402,1998-01-12
02333505000446,1166402,1998-01-12
02383185000196,174419,1998-03-02
02462420000115,1141531,1998-03-05
02486254000197,1178896,2006-12-19
02486254000278,1178896,2006-12-19
02486254000359,1178896,2006-12-19
02486254000430,1178896,2006-12-19
02486254000510,1178896,2006-12-19
02486254000600,1178896,2006-12-19
02505695000199,1204389,2005-09-12
02505695000270,1204389,2005-09-12
02505695000350,1204389,2005-09-12
02505695000431,1204389,2005-09-12
02522837000126,174371,2005-09-12
02524919000100,1160512,2001-08-14
02529104000113,1160651,1999-05-05
02544819000145,1204386,1998-05-27
02544820000170,1204386,1998-05-27
02599046000102,1204514,1998-03-25
02599046000102,25666,1998-03-25
02616717000198,1204373,2008-03-14
02634075000150,1160512,2000-10-26
02688957000106,1141428,1998-08-11
02688957000289,1141428,1998-08-11
02731013000166,1160598,1998-06-12
02733891000110,174383,1998-09-01
02754681000109,173466,2005-09-12
02756700000136,173808,2005-09-12
02757315000103,1164360,1998-09-17
02777459000121,174439,2008-01-02
02777459000202,174439,2008-01-02
02848291000106,192699,1998-10-06
02880684000199,1204456,2008-12-10
02883534000139,1204465,1998-12-03
02883534000210,1204465,1998-12-03
02885584000155,1204524,2019-06-27
02890753000145,174161,1998-11-26
02898937000151,1178984,2016-12-13
02898937000232,1178984,2016-12-13
02915954000150,1141459,1998-07-31
02935978000170,1160512,2000-05-08
02952846000157,24770,2005-09-12
02974303000130,1141459,1998-10-13
02986680000190,1160598,2005-09-12
02994215000109,1178895,1999-02-25
03000349000111,174299,1999-02-10
03018688000125,1204557,2005-09-12
03020159000166,24770,1999-03-09
03022239000150,174158,1999-03-03
03047668000182,1204441,2005-09-12
03065149000147,1160552,1999-03-30
03074316000116,174299,1999-03-15
03083176000142,1178896,1999-03-26
03083176000223,1178896,1999-03-26
03095350000177,1160655,1999-04-15
03123082000150,1141421,1999-11-11
03123082000230,1141421,1999-11-11
03123082000311,1141421,1999-11-11
03153143000121,173801,1999-05-13
03165946000104,1204423,1999-05-17
03188076000180,1160512,2001-01-23
03195048000190,190842,1999-06-04
03199269000137,2751,1999-04-15
03220504000105,174554,1999-06-08
03231018000192,173466,2005-08-25
03275216000158,1204419,2001-03-15
03275216000239,1204419,2001-03-15
03275216000310,1204419,2001-03-15
03287602000160,1204497,2012-05-21
03299740000169,1166402,1987-02-26
03301505000184,1204430,1999-07-27
03305987000140,1161550,2005-09-12
03323188000105,174537,2013-12-12
03358547000151,192102,1999-08-20
03429606000135,1204419,2003-11-12
03429606000216,1204419,2003-11-12
03429606000305,1204419,2003-11-12
03449628000167,1151208,2015-10-26
03460745000121,1160510,2005-09-12
03465317000191,1166402,1987-04-13
03465317000272,1166402,1987-04-13
03465317000353,1166402,1987-04-13
03466623000142,1178895,1999-10-26
03466623000223,1178895,1999-10-26
03479039000121,1204403,1999-10-15
03485228000107,1204390,2002-12-30
03485228000298,1204390,2002-12-30
03485228000379,1204390,2002-12-30
03485283000105,1204465,1999-11-05
