id_parlamentar_voz,id_partido,casa,cargo
1160541,575,camara,Líder
1178975,575,camara,Vice-líder
1204459,575,camara,Vice-líder
1171623,575,camara,Vice-líder
1178954,575,camara,Vice-líder
1179001,575,camara,Vice-líder
1204549,575,camara,Vice-líder
166828,575,camara,Vice-líder
1151208,575,camara,Vice-líder
1204406,575,camara,Vice-líder
1178884,575,camara,Vice-líder
1178959,575,camara,Vice-líder
193083,575,camara,Vice-líder
1204430,575,camara,Vice-líder
1141427,575,camara,Vice-líder
1204380,575,camara,Vice-líder
1204500,575,camara,Vice-líder
1122974,575,camara,Vice-líder
1204539,575,camara,Vice-líder
1198783,575,camara,Vice-líder
1204524,575,camara,Vice-líder
1108338,575,camara,Vice-líder
1132504,36844,camara,Líder
173604,36844,camara,Vice-líder
1178986,36844,camara,Vice-líder
1204559,36844,camara,Vice-líder
174161,36844,camara,Vice-líder
1204428,36844,camara,Vice-líder
1160604,36844,camara,Vice-líder
1204503,36844,camara,Vice-líder
1204495,36844,camara,Vice-líder
1204480,36844,camara,Vice-líder
1160535,36844,camara,Vice-líder
174398,36844,camara,Vice-líder
1141470,36844,camara,Vice-líder
1160575,36844,camara,Vice-líder
1178873,36844,camara,Vice-líder
192346,36837,camara,Líder
1204411,36837,camara,Vice-líder
1204545,36837,camara,Vice-líder
1204374,36837,camara,Vice-líder
1204388,36837,camara,Vice-líder
1204507,36837,camara,Vice-líder
1204454,36837,camara,Vice-líder
1204473,36837,camara,Vice-líder
1204520,36837,camara,Vice-líder
1204526,36837,camara,Vice-líder
1204452,36837,camara,Vice-líder
1204462,36837,camara,Vice-líder
1204369,36837,camara,Vice-líder
1204351,36837,camara,Vice-líder
181297,36837,camara,Vice-líder
174043,37906,camara,Líder
1204556,37906,camara,Vice-líder
1160673,37906,camara,Vice-líder
1141417,37906,camara,Vice-líder
174585,37906,camara,Vice-líder
1204427,37906,camara,Vice-líder
1204481,37906,camara,Vice-líder
1178829,37906,camara,Vice-líder
1137070,37906,camara,Vice-líder
1204354,37906,camara,Vice-líder
1204517,37906,camara,Vice-líder
1160588,36834,camara,Líder
1160553,36834,camara,Vice-líder
1160587,36834,camara,Vice-líder
1204447,36834,camara,Vice-líder
1204522,36834,camara,Vice-líder
1141450,36834,camara,Vice-líder
1204573,36834,camara,Vice-líder
1178910,36834,camara,Vice-líder
174317,36834,camara,Vice-líder
1204392,36834,camara,Vice-líder
1178922,36832,camara,Líder
1204389,36832,camara,Vice-líder
1204429,36832,camara,Vice-líder
1204352,36832,camara,Vice-líder
1204558,36832,camara,Vice-líder
1204561,36832,camara,Vice-líder
1204542,36832,camara,Vice-líder
1204499,36832,camara,Vice-líder
1141508,36832,camara,Vice-líder
1160531,37908,camara,Líder
1204576,37908,camara,Vice-líder
174366,37908,camara,Vice-líder
1204425,37908,camara,Vice-líder
198057,37908,camara,Vice-líder
1160674,37908,camara,Vice-líder
1141555,37908,camara,Vice-líder
1204572,37908,camara,Vice-líder
174356,37908,camara,Vice-líder
174262,36835,camara,Líder
1204560,36835,camara,Vice-líder
1204544,36835,camara,Vice-líder
1204404,36835,camara,Vice-líder
1141531,36835,camara,Vice-líder
1160758,36835,camara,Vice-líder
174352,36835,camara,Vice-líder
1178912,36835,camara,Vice-líder
1133439,36786,camara,Líder
1178835,36786,camara,Vice-líder
1133968,36786,camara,Vice-líder
173460,36786,camara,Vice-líder
174299,36786,camara,Vice-líder
1141411,36786,camara,Vice-líder
173486,36786,camara,Vice-líder
1204486,36786,camara,Vice-líder
1141422,36769,camara,Líder
1160545,36769,camara,Vice-líder
1204395,36769,camara,Vice-líder
1204536,36769,camara,Vice-líder
1178947,36769,camara,Vice-líder
1160632,37904,camara,Líder
1160665,37904,camara,Vice-líder
1204408,37904,camara,Vice-líder
1204475,37904,camara,Vice-líder
1143084,37904,camara,Vice-líder
1204359,36896,camara,Líder
169871,36896,camara,Vice-líder
1204508,36896,camara,Vice-líder
1178989,36896,camara,Vice-líder
1204407,36839,camara,Líder
176874,36839,camara,Vice-líder
1204509,36839,camara,Vice-líder
173531,36839,camara,Vice-líder
1204379,36763,camara,Líder
1204487,36763,camara,Vice-líder
1178863,36763,camara,Vice-líder
1160518,36763,camara,Vice-líder
1204423,36833,camara,Líder
1204419,36833,camara,Vice-líder
1178881,36833,camara,Vice-líder
1204441,36833,camara,Vice-líder
1141391,37905,camara,Líder
1204355,37905,camara,Vice-líder
1204377,37905,camara,Vice-líder
174060,36779,camara,Líder
173801,36779,camara,Vice-líder
173943,36779,camara,Vice-líder
181055,36779,camara,Vice-líder
1204461,37901,camara,Líder
1156190,37901,camara,Vice-líder
1204532,37901,camara,Vice-líder
1160510,36898,camara,Líder
1204553,36898,camara,Vice-líder
1204476,36898,camara,Vice-líder
1204494,37907,camara,Líder
1160642,37907,camara,Vice-líder
1204518,37907,camara,Vice-líder
1178832,36851,camara,Líder
1204488,36851,camara,Vice-líder
1204468,36886,camara,Representante
1179587,0,camara,Líder
1204460,0,camara,Vice-líder
1204376,0,camara,Vice-líder
173891,0,camara,Vice-líder
1204472,0,camara,Vice-líder
1178879,0,camara,Vice-líder
1178993,0,camara,Vice-líder
1204531,0,camara,Vice-líder
174554,0,camara,Vice-líder
1178981,0,camara,Vice-líder
1160640,0,camara,Vice-líder
1204454,0,camara,Vice-líder
1204400,0,camara,Vice-líder
1204369,0,camara,Vice-líder
1204416,0,camara,Vice-líder
1204458,0,camara,Vice-líder
1160527,1,camara,Líder
193083,1,camara,Vice-líder
1160511,3,camara,Líder
1204394,3,camara,Vice-líder
173482,3,camara,Vice-líder
1141488,3,camara,Vice-líder
174160,3,camara,Vice-líder
1178970,3,camara,Vice-líder
1178927,3,camara,Vice-líder
1141439,3,camara,Vice-líder
1160528,3,camara,Vice-líder
1204464,3,camara,Vice-líder
174848,2,camara,Líder
1157130,2,camara,Vice-líder
1141470,2,camara,Vice-líder
169871,2,camara,Vice-líder
1139285,2,camara,Vice-líder
174057,2,camara,Vice-líder
1204483,2,camara,Vice-líder
176874,2,camara,Vice-líder
1160508,2,camara,Vice-líder
168720,2,camara,Vice-líder
1160541,37903,camara,Líder
1178975,36899,camara,Líder
1122974,36845,camara,Líder
222,770,senado,Líder
25748,754,senado,Líder
25905,771,senado,Líder
2945,36896,senado,Líder
25976,36896,senado,Vice-líder
25924,36896,senado,Vice-líder
21173,763,senado,Líder
25732,763,senado,Vice-líder
25350,763,senado,Vice-líder
23806,763,senado,Vice-líder
25523,36834,senado,Líder
25385,36834,senado,Vice-líder
25967,36834,senado,Vice-líder
2374,755,senado,Líder
25783,755,senado,Vice-líder
24994,1,senado,Líder
25012,2,senado,Líder
25540,0,senado,Líder
23777,0,senado,Vice-líder
25531,0,senado,Vice-líder
24770,0,senado,Vice-líder
2470,0,senado,Vice-líder
24994,36899,senado,Líder
2285,36899,senado,Vice-líder
25998,37903,senado,Líder
2739,37903,senado,Vice-líder
26027,37908,senado,Líder
25411,36786,senado,Líder
25718,37905,senado,Líder
25982,37905,senado,Vice-líder
25012,36886,senado,Líder
25953,36886,senado,Vice-líder
25979,36832,senado,Líder
2677,36835,senado,Líder
24770,36835,senado,Vice-líder
25905,36835,senado,Vice-líder
25666,36837,senado,Líder
25988,36837,senado,Vice-líder
25732,36769,senado,Líder
25422,36769,senado,Vice-líder
25350,37906,senado,Líder
23806,36833,senado,Líder
25352,36844,senado,Líder
25535,36763,senado,Líder
25783,36763,senado,Vice-líder
