id_parlamentar_voz,id_atividade_economica,total_por_atividade,proporcao_doacao,indice_ligacao_atividade_economica
21023,18,0,0,0.5714285714285714
1107283,9,17013.2,0.012648604298348617,0.5768494018421494
1107283,12,0,0,0.5714285714285714
1108338,2,95000,0.039404992902953385,0.5883164255298371
1108338,6,98800,0.040981192619071516,0.5889919396938879
1108338,7,95000,0.039404992902953385,0.5883164255298371
1108338,8,95000,0.039404992902953385,0.5883164255298371
1108338,9,98800,0.040981192619071516,0.5889919396938879
1108338,11,96800,0.0401516138211146,0.5886364059233349
1108338,12,95000,0.039404992902953385,0.5883164255298371
1108338,13,95000,0.039404992902953385,0.5883164255298371
1109429,16,210649.7,0.18977352999178293,0.6527600842821927
1109429,18,223149.7,0.20103473342524278,0.6575863143251041
1112437,16,0,0,0.5714285714285714
1115746,6,376800,0.9939329992086521,0.997399856803708
1115746,10,376800,0.9939329992086521,0.997399856803708
1116379,4,8940,0.0294263830235444,0.5840398784386619
1116379,8,13040,0.04292170409698198,0.5898235874701351
1116379,16,6519,0.021457560506765765,0.580624668788614
21173,7,0,0,0.5714285714285714
21173,14,0,0,0.5714285714285714
21186,2,697800,0.2384176114477026,0.6736075477633011
21186,10,737300,0.2519135926058915,0.6793915396882392
21186,14,607000,0.2073939383043214,0.6603116878447092
21186,21,710100,0.2426201574792399,0.6754086389196743
1132504,12,60905,0.06295257076520651,0.5984082446136599
1133439,6,23000,0.027959616588562084,0.583411264252241
1133439,7,18000,0.021881439069309457,0.580806331029704
1133439,8,3500,0.004254724263476839,0.5732520246843472
1133439,9,23500,0.02856743434048735,0.5836717575744945
1133439,10,18110,0.022015158974733016,0.5808636395605998
1133439,16,21510,0.026148319687824804,0.5826349941519249
1133439,18,22000,0.02674398108471156,0.5828902776077335
1134812,9,33300,0.044954329438744924,0.590694712616605
1134812,18,4300,0.0058049134110091044,0.573916391461861
1137070,9,85000,0.06104199401932087,0.5975894260082804
1137070,16,26500,0.01903073931190592,0.5795846025622453
1141391,2,800150,0.34819436969943535,0.7206547298711865
1141391,6,843699.99,0.3671456429837779,0.7287767041359048
1141391,7,892749.99,0.3884903081512556,0.7379244177791096
1141391,8,817750,0.355853209800304,0.723937089914416
1141391,9,717199.99,0.31209772975878436,0.7051847413251933
1141391,11,522700,0.227458847768412,0.6689109347578909
