id_proposicao,id_votacao,objeto_votacao,datetime,codigo_sessao
865930,55202131,NA,NA,NA
865929,55291922,NA,NA,NA
996553,55732259,NA,NA,NA
2112490,60842136,NA,NA,NA
2148437,164132230,NA,NA,NA
946734,59061620,NA,NA,NA
2078295,60192057,NA,NA,NA
2153100,163542218,NA,NA,NA
585608,54701952,NA,NA,NA
2124451,161752110,NA,NA,NA
2121839,162081653,NA,NA,NA
2121849,162092238,NA,NA,NA
2164234,165192043,NA,NA,NA
2165578,165322112,NA,NA,NA
14493,56322025,NA,NA,NA
373327,559621061,NA,NA,NA
3733272,559621062,NA,NA,NA
3733273,559621063,NA,NA,NA
2088351,60432022,NA,NA,NA
611966,161551642,NA,NA,NA
1514014,56242022,NA,NA,NA
1594910,60822133,NA,NA,NA
412728,55132041,NA,NA,NA
20794,61482024,NA,NA,NA
267841,54942049,NA,NA,NA
270277,56731627,NA,NA,NA
2122076,161862156,NA,NA,NA
2156331,163702308,NA,NA,NA
544724,54501843,NA,NA,NA
1672065,57232043,NA,NA,NA
2122078,162512302,NA,NA,NA
2123843,162302224,NA,NA,NA
3733274,55632238,NA,NA,NA
3733275,55472108,NA,NA,NA
3733276,55482309,NA,NA,NA
351362,56391914,NA,NA,NA
2168064,164500209,NA,NA,NA
17338,45962106,NA,NA,NA
3733277,55452149,NA,NA,NA
603566,56571343,NA,NA,NA
3733278,55621919,NA,NA,NA
3733279,55692004,NA,NA,NA
16526,168392211,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-06-17T22:11:00Z,16839
16526,168391926,REQUERIMENTO DE RETIRADA DE PAUTA,2019-06-17T19:26:00Z,16839
28692,167471911,DTQ. 7 - BL. PDT - §1º DO ART. 2º DA SUBEMENDA SUBSTITUTIVA,2019-03-12T19:11:00Z,16747
28692,167471744,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-03-12T17:44:00Z,16747
516111,168281245,EMENDA AGLUTINATIVA Nº 1,2019-06-05T12:45:00Z,16828
516111,168281334,PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO,2019-06-05T13:34:00Z,16828
516111,168281322,EMENDA DE REDAÇÃO Nº 1,2019-06-05T13:22:00Z,16828
946494,167612120,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-03-26T21:20:00Z,16761
946494,167612104,"DTQ. 1 - BLOCO PSL - §11 DO ART. 165, CONST. DO ART. 1º DO SUBSTITUTIVO",2019-03-26T21:04:00Z,16761
946494,167612109,"DTQ. 2 - BLOCO PSL - EXP. ""NOS TERMOS DE LEI COMPLEMENTAR"", ...",2019-03-26T21:09:00Z,16761
946494,167612052,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-03-26T20:52:00Z,16761
946494,167612117,EMENDAS DE REDAÇÃO DE NºS 1 A 4,2019-03-26T21:17:00Z,16761
2160860,167341919,DTQ. 10 - PSOL - ART. 1º DO SUBSTITUTIVO,2019-02-19T19:19:00Z,16734
2160860,167351702,DTQ. 6 - PT - ART. 4º DA LEI 12.414/2011 CONST. DO ART. 2º DO SUBTITUTIVO,2019-02-20T17:02:00Z,16735
2160860,167351743,DTQ. 14 - PP - EMENDA DE PLENÁRIO Nº 10,2019-02-20T17:43:00Z,16735
2160860,167351811,DTQ. 7 - PDT - EMENDA DE PLENÁRIO Nº 6,2019-02-20T18:11:00Z,16735
2160860,167351844,"DTQ. 12 - PT - INC. V, CONST. DO ART. 5º DA LEI Nº 12.414/2011",2019-02-20T18:44:00Z,16735
2160860,167351938,DTQ. 11 - PCdoB - ART. 16 DA LEI Nº 12.414/2011,2019-02-20T19:38:00Z,16735
2160860,167362029,DTQ. 5 - PT - EMENDA DE PLENÁRIO Nº 2,2019-02-20T20:29:00Z,16736
2160860,167362049,"DTQ. 1 - PSB - INC. III, DO ART. 3º",2019-02-20T20:49:00Z,16736
2160860,167341815,EMENDAS DE NºS 6 E 8 COM PARECER PELA REJEIÇÃO,2019-02-19T18:15:00Z,16734
2160860,167351906,"DTQ. 15 - PSB - §7º DO ART. 12 DA LEI Nº 12.414/2011, CONT. NO ART. 2º DO PLP",2019-02-20T19:06:00Z,16735
2160860,167351622,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-20T16:22:00Z,16735
2160860,167362006,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-20T20:06:00Z,16736
2179189,167271611,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-12T16:11:00Z,16727
2179189,167271717,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-02-12T17:17:00Z,16727
2183943,167281821,"DTQ 12 - BL. PDT - ART. 22, INSERIDO NO ART. 6º DA MPV...",2019-02-13T18:21:00Z,16728
