congressperson_name,congressperson_id,twitter_profile,secondary_twitter_profile,facebook_page
ABEL MESQUITA JR.,178957,depabelmesquita,,https://www.facebook.com/abel.mesquita.94
ABELARDO LUPION,73764,abelardolupion,,
ACELINO POPÓ,161907,popofreitas,,https://www.facebook.com/PopoFreitas
ADAIL CARNEIRO,178864,adail12321,,https://www.facebook.com/adailcarneiro11
ADALBERTO CAVALCANTI,178914,,,https://www.facebook.com/dep.adalberto.cavalcanti
ADELMO CARNEIRO LEÃO,178890,deputadoadelmo,,https://www.facebook.com/deputadoadelmo
ADELSON BARRETO,178968,adelson_barreto,,https://www.facebook.com/profile.php?id=100011229309710
ADEMIR CAMILO,133374,depademircamilo,,https://www.facebook.com/DeputadoAdemirCamilo
ADILTON SACHETTI,178903,adiltonsachetti,,https://www.facebook.com/AdiltonSachetti
ADRIAN,160577,DepAdrian,,https://www.facebook.com/DepFederalAdrian
ADÉRMIS MARINI,196359,AdermisMarini,,https://www.facebook.com/AdermisMarini
AELTON FREITAS,141372,aeltonfreitasmg,,https://www.facebook.com/AeltonFreitasMG
AFONSO FLORENCE,160508,AfonsoFlorence‏,,https://www.facebook.com/afonsoflorence13
AFONSO HAMM,136811,depafonsohamm,,https://www.facebook.com/depafonsohamm
AFONSO MOTTA,178835,afonso_motta,,https://www.facebook.com/AfonsoMottaOpina
AGUINALDO RIBEIRO,160527,aguinaldo1111,,https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192
ALAN RICK,178836,Alan_Rick,,https://www.facebook.com/deputadoalanrick
ALBERTO FILHO,160582,DepAlbertofilho,,https://www.facebook.com/j.albertofilho
ALBERTO FRAGA,73579,alberto_fraga,,https://www.facebook.com/albertofraga.oficial
ALBERTO MOURÃO,74696,albertomourao,,https://www.facebook.com/mouraopg
ALCEU MOREIRA,160559,Alceu_Moreira,,https://www.facebook.com/depalceumoreira
ALDO REBELO,73428,aldorebelo,,https://www.facebook.com/aldorebelo
ALESSANDRO MOLON,160511,AlessandroMolon,,https://www.facebook.com/MolonRJ
ALEX CANZIANI,73458,CanzianiAlex,,https://www.facebook.com/canzianialex
ALEX MANENTE,178972,alexmanentepps,,https://www.facebook.com/alexmanentesbc
ALEXANDRE BALDY,178875,alexandrebaldy,,https://www.facebook.com/alexandrebaldyoficial
ALEXANDRE LEITE,160545,lexandreleite,,https://www.facebook.com/DeputadoFederalAlexandreLeite
ALEXANDRE SANTOS,74830,depAlexandreSRJ,,https://www.facebook.com/lexandresantos45
ALEXANDRE SERFIOTIS,178833,AleSerfiotis,,https://www.facebook.com/alexandreserfiotis
ALEXANDRE VALLE,178936,,,https://www.facebook.com/Valle.Alexandre
ALFREDO KAEFER,141454,AlfredoKaefer,,https://www.facebook.com/Dep.AlfredoKaefer
ALFREDO NASCIMENTO,178846,senadoralfredo,,https://www.facebook.com/AlfredoNascimentoOficial
ALFREDO SIRKIS,116663,Alfredosirkis,,https://www.facebook.com/alfredo.sirkis
ALICE PORTUGAL,74057,Alice_Portugal,,https://www.facebook.com/deputadaaliceportugal
ALIEL MACHADO,178927,alielmachado,,https://www.facebook.com/Alielmachadooficial
ALINE CORRÊA,141375,Dep_AlineCorrea,,https://www.facebook.com/pg/DeputadaAlineCorrea
ALTINEU CÔRTES,178937,,,https://www.facebook.com/altineu
ALUISIO MENDES,178881,,,https://www.facebook.com/AluisioMendesOficial
AMAURI TEIXEIRA,160603,deputadoamauri,,https://www.facebook.com/AmauriTeixeira13
ANA ARRAES,141377,anaarraes4040,,https://www.facebook.com/anaarraes4040
ANA PERUGINI,178973,anaperugini,,https://www.facebook.com/ana.perugini
ANDERSON FERREIRA,160551,federalanderson,,https://www.facebook.com/EuToComAnderson22
ANDRE MOURA,160543,AndreMourapsc_,,https://www.facebook.com/OficialAndreMoura
ANDRE VARGAS,141378,andrevargas13,,
ANDREIA ZITO,141379,andreia_zito,,https://www.facebook.com/andreiazito
ANDRES SANCHEZ,178974,torcidaandres,,https://www.facebook.com/torcidaandres
ANDRÉ ABDON,178831,dep_andreabdon‏,,https://www.facebook.com/depandreabdon
ANDRÉ AMARAL,195143,,,https://www.facebook.com/andreamaralpb
ANDRÉ DE PAULA,74471,,,https://www.facebook.com/andredepaulaoficial
ANDRÉ DIAS,161905,andredias4500,,https://www.facebook.com/Andr%C3%A9-Dias-Deputado-Federal-4500-161378187221311
ANDRÉ FIGUEIREDO,133439,andrepdt12,,https://www.facebook.com/DeputadoAndreFigueiredo
ANDRÉ FUFUCA,178882,,,https://www.facebook.com/andrefufuca
ANDRÉ ZACHAROW,74377,zacharow,,https://www.facebook.com/andre.zacharow.3
ANGELIM,178837,RaimundoAngelim,,https://www.facebook.com/angelim.acre
ANGELO VANHONI,141381,angelovanhoni,,https://www.facebook.com/vanhoni
ANTHONY GAROTINHO,160539,blogdogarotinho,,https://www.facebook.com/garotinhooficial
ANTONIO BALHMANN,74213,Dep_Balhmann,,https://www.facebook.com/balhmann
ANTONIO BRITO,160553,antoniobritoba,,https://www.facebook.com/britoantoniobahia
ANTONIO BULHÕES,141383,depbulhoes,,https://www.facebook.com/antonio.bulhoes.7
ANTONIO CARLOS MAGALHÃES NETO,74058,acm_neto,,https://www.facebook.com/ACMNetoOficial
ANTONIO CARLOS MENDES THAME,73584,mendesthame,,https://www.facebook.com/md.mendesthame
ANTONIO IMBASSAHY,160530,Dep_Imbassahy,,https://www.facebook.com/antonio.imbassahy
ANTÔNIA LÚCIA,123756,antonialuciapsc,antonialucia_,https://www.facebook.com/antonialuciapr
ANTÔNIO ANDRADE,141387,AntonioAndraDep,,https://www.facebook.com/antonioandrade.pmdb
ANTÔNIO JÁCOME,178950,,,https://www.facebook.com/jacomern
ANTÔNIO ROBERTO,141390,antonioroberto_,,https://www.facebook.com/dep.antonioroberto
ARIOSTO HOLANDA,74103,deputadoariosto,,https://www.facebook.com/deputadoariostoholanda
ARLINDO CHINAGLIA,73433,achinaglia,,https://www.facebook.com/depchinaglia
ARMANDO VERGÍLIO,160546,armandovergilio,,https://www.facebook.com/armandovergilio
ARNALDO FARIA DE SÁ,73434,Dep_Arnaldo1452,,https://www.facebook.com/deputadoarnaldofariadesa
ARNALDO JARDIM,141391,ArnaldoJardim,,https://www.facebook.com/deputadoarnaldojardim
ARNALDO JORDY,160602,arnaldojordy,,https://www.facebook.com/arnaldojordy
AROLDE DE OLIVEIRA,74833,AroldeOliveira,,https://www.facebook.com/aroldedeoliveira
ARTHUR LIRA,160541,DEPArthurLira,,https://www.facebook.com/arthurliradeputadofederal
ARTHUR OLIVEIRA MAIA,160600,departhurmaia,,https://www.facebook.com/arthur.oliveiramaia
ARTHUR VIRGÍLIO BISNETO,178847,Arthurbisneto,,https://www.facebook.com/arthurvirgiliobisneto
ARTUR BRUNO,160678,arturbruno,,https://www.facebook.com/artur.bruno.oficial
ASSIS CARVALHO,159237,assis_carvalho,,https://www.facebook.com/assiscarvalho.pt
