id,id_req,nome,partido,uf
204459,2202974,Daniela do Waguinho,MDB,RJ
160511,2202973,Alessandro Molon,PSB,RJ
178927,2202972,Aliel Machado,PSB,PR
204371,2202970,Felipe Rigoni,PSB,ES
204534,2202970,Tabata Amaral,PDT,SP
204466,2202968,Tereza Nelma,PSDB,AL
152610,2202967,Roberto Alves,PRB,SP
204538,2202966,Paulo Bengtson,PTB,PA
204538,2202965,Paulo Bengtson,PTB,PA
178990,2202964,Samuel Moreira,PSDB,SP
178889,2202954,Zé Carlos,PT,MA
178889,2202953,Zé Carlos,PT,MA
178889,2202952,Zé Carlos,PT,MA
178889,2202951,Zé Carlos,PT,MA
178889,2202950,Zé Carlos,PT,MA
178889,2202949,Zé Carlos,PT,MA
178889,2202948,Zé Carlos,PT,MA
178889,2202947,Zé Carlos,PT,MA
178889,2202946,Zé Carlos,PT,MA
178889,2202945,Zé Carlos,PT,MA
178889,2202944,Zé Carlos,PT,MA
NA,2202943,JOSE GUIMARAES,NA,NA
NA,2202942,JOSE GUIMARAES,NA,NA
NA,2202941,JOSE GUIMARAES,NA,NA
NA,2202940,JOSE GUIMARAES,NA,NA
NA,2202939,JOSE GUIMARAES,NA,NA
NA,2202938,JOSE GUIMARAES,NA,NA
160528,2202937,Danilo Cabral,PSB,PE
160528,2202936,Danilo Cabral,PSB,PE
160528,2202935,Danilo Cabral,PSB,PE
NA,2202934,ESPERIDIAO AMIN,NA,NA
74548,2202933,Jaques Wagner,PT,BA
74317,2202932,Júlio Cesar,PSD,PI
4931,2202931,Izalci Lucas,PSDB,DF
4931,2202930,Izalci Lucas,PSDB,DF
NA,2202929,HUMBERTO COSTA,NA,NA
76874,2202928,Marcelo Freixo,PSOL,RJ
76874,2202927,Marcelo Freixo,PSOL,RJ
76874,2202926,Marcelo Freixo,PSOL,RJ
76874,2202925,Marcelo Freixo,PSOL,RJ
76874,2202924,Marcelo Freixo,PSOL,RJ
76874,2202923,Marcelo Freixo,PSOL,RJ
204535,2202922,Sâmia Bomfim,PSOL,SP
204535,2202921,Sâmia Bomfim,PSOL,SP
204535,2202920,Sâmia Bomfim,PSOL,SP
204535,2202919,Sâmia Bomfim,PSOL,SP
204535,2202918,Sâmia Bomfim,PSOL,SP
204535,2202917,Sâmia Bomfim,PSOL,SP
178959,2202903,Hiran Gonçalves,PP,RR
178959,2202902,Hiran Gonçalves,PP,RR
178959,2202901,Hiran Gonçalves,PP,RR
178959,2202900,Hiran Gonçalves,PP,RR
