id_parlamentar,casa,cargo
74693,camara,Presidente
74158,camara,Segundo Secretário
178951,camara,Primeiro Suplente de Secretário
141428,camara,Terceiro Secretário
178966,camara,Segundo Suplente de Secretário
74478,camara,Segundo Vice-presidente
159237,camara,Quarto Suplente de Secretário
204436,camara,Terceiro Suplente de Secretário
178882,camara,Quarto Secretário
178946,camara,Primeiro Secretário
204506,camara,Primeiro Vice-presidente
3830,senado,Presidente
5529,senado,Primeiro Vice-presidente
5533,senado,Segundo Vice-presidente
4560,senado,Primeiro Secretário
3777,senado,Segundo Secretário
5894,senado,Terceiro Secretário
1186,senado,Quarto Secretário
5942,senado,Primeiro Suplente
5411,senado,Segundo Suplente
581,senado,Terceiro Suplente
5979,senado,Quarto Suplente
