cod_titulo,data_fim,data_inicio,email,id,id_frente,id_legislatura,nome,sigla_partido,sigla_uf,titulo,uri,uri_partido,url_foto,tema
14,NA,NA,NA,160511,54012,56,ALESSANDRO MOLON,PSB,RJ,Coordenador,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/160511.jpg,Ambientalista
1004,NA,NA,NA,NA,54012,56,NA,NA,NA,Membro,NA,NA,NA,Ambientalista
1004,NA,NA,NA,67138,54012,56,IRACEMA PORTELLA,PP,PI,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/67138,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/67138.jpg,Ambientalista
1004,NA,NA,NA,69871,54012,56,BACELAR,PODE,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/69871,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,https://www.camara.leg.br/internet/deputado/bandep/69871.jpg,Ambientalista
1004,NA,NA,NA,72442,54012,56,FELIPE CARRERAS,PSB,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/72442,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/72442.jpg,Ambientalista
1004,NA,NA,NA,73482,54012,56,HENRIQUE FONTANA,PT,RS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73482,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/73482.jpg,Ambientalista
1004,NA,NA,NA,73486,54012,56,POMPEO DE MATTOS,PDT,RS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73486,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/73486.jpg,Ambientalista
1004,NA,NA,NA,73531,54012,56,IVAN VALENTE,PSOL,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,https://www.camara.leg.br/internet/deputado/bandep/73531.jpg,Ambientalista
1004,NA,NA,NA,73586,54012,56,JÚLIO DELGADO,PSB,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73586,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,https://www.camara.leg.br/internet/deputado/bandep/73586.jpg,Ambientalista
1004,NA,NA,NA,73604,54012,56,RUI FALCÃO,PT,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73604,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/73604.jpg,Ambientalista
1004,NA,NA,NA,73696,54012,56,ANGELA AMIN,PP,SC,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73696,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg,Ambientalista
1004,NA,NA,NA,73701,54012,56,BENEDITA DA SILVA,PT,RJ,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/73701,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/73701.jpg,Ambientalista
