id_parlamentar,casa,data_inicio,data_fim,situacao,cod_causa_fim_exercicio,desc_causa_fim_exercicio,id_legislatura
178914,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141372,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141372,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
141372,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141372,camara,2021-01-01,NA,Efetivado,NA,NA,56
136811,camara,2005-09-27,2005-11-24,Suplente,53,Afastamento,52
136811,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
136811,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
136811,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
136811,camara,2019-02-01,NA,Titular,NA,NA,56
73579,camara,2003-02-01,2007-01-01,Titular,12,Secretário de Estado,52
73579,camara,2007-02-01,2007-03-01,Titular,12,Secretário de Estado,53
73579,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
178936,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74057,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74057,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74057,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74057,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74057,camara,2019-02-01,NA,Titular,NA,NA,56
195143,camara,2016-08-02,2016-11-30,Efetivado,53,Afastamento,55
74471,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74471,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74471,camara,2014-03-13,2015-01-02,Efetivado,12,Secretário de Estado,54
74471,camara,2015-02-01,2015-02-09,Titular,12,Secretário de Estado,55
74471,camara,2019-02-01,NA,Titular,NA,NA,56
133439,camara,2005-01-06,2007-01-31,Efetivado,99,Término da Legislatura,52
133439,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
133439,camara,2015-02-01,2015-10-05,Titular,11,Ministro de Estado,55
133439,camara,2019-02-01,NA,Titular,NA,NA,56
160543,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160543,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
192120,camara,2015-10-28,2016-04-05,Suplente,53,Afastamento,55
178837,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74213,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74213,camara,2015-02-01,2015-08-06,Titular,12,Secretário de Estado,55
160530,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160530,camara,2015-02-01,2017-02-03,Titular,11,Ministro de Estado,55
178950,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74103,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
74103,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
74103,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
74103,camara,2015-10-06,2016-05-12,Suplente,53,Afastamento,55
73434,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
73434,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
73434,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
73434,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
141391,camara,2007-02-01,2011-01-31,Titular,99,Término da Legislatura,53
141391,camara,2011-02-01,2015-01-08,Titular,12,Secretário de Estado,54
141391,camara,2015-02-01,2015-02-03,Titular,12,Secretário de Estado,55
141391,camara,2019-02-01,NA,Titular,NA,NA,56
160602,camara,2011-02-01,2015-01-31,Titular,99,Término da Legislatura,54
160602,camara,2015-02-01,2019-01-31,Titular,99,Término da Legislatura,55
74291,camara,2003-02-01,2007-01-31,Titular,99,Término da Legislatura,52
