id,nome_eleitoral,sg_partido,uf,faltou,partido_liberou,nao_seguiu,seguiu,total_votacoes,aderencia
160508,AFONSO FLORENCE,PT,BA,3,1,6,1,7,14.285714285714285
136811,AFONSO HAMM,PP,RS,0,2,2,7,9,77.77777777777779
178835,AFONSO MOTTA,PDT,RS,2,1,2,6,8,75
160527,AGUINALDO RIBEIRO,PP,PB,10,0,0,1,1,NA
178836,ALAN RICK,DEM,AC,1,1,2,7,9,77.77777777777779
160559,ALCEU MOREIRA,MDB,RS,2,1,0,8,8,100
160511,ALESSANDRO MOLON,PSB,RJ,3,1,1,6,7,85.71428571428571
178972,ALEX MANENTE,CIDADANIA,SP,2,2,0,7,7,100
160545,ALEXANDRE LEITE,DEM,SP,3,2,2,4,6,66.66666666666666
178833,ALEXANDRE SERFIOTIS,PSD,RJ,5,0,0,6,6,100
74057,ALICE PORTUGAL,PCdoB,BA,0,2,3,6,9,66.66666666666666
178927,ALIEL MACHADO,PSB,PR,5,0,0,6,6,100
178937,ALTINEU CÔRTES,PL,RJ,5,0,1,5,6,83.33333333333334
178881,ALUISIO MENDES,PODEMOS,MA,1,2,1,7,8,87.5
178831,ANDRÉ ABDON,PP,AP,5,0,3,3,6,50
74471,ANDRÉ DE PAULA,PSD,PE,4,0,2,5,7,71.42857142857143
133439,ANDRÉ FIGUEIREDO,PDT,CE,2,1,2,6,8,75
178882,ANDRÉ FUFUCA,PP,MA,9,0,1,1,2,NA
74212,ANÍBAL GOMES,DEM,CE,8,1,1,1,2,NA
160553,ANTONIO BRITO,PSD,BA,2,2,1,6,7,85.71428571428571
73433,ARLINDO CHINAGLIA,PT,SP,6,0,4,1,5,20
141391,ARNALDO JARDIM,CIDADANIA,SP,6,1,2,2,4,50
160541,ARTHUR LIRA,PP,AL,6,0,2,3,5,60
160600,ARTHUR OLIVEIRA MAIA,DEM,BA,5,0,1,5,6,83.33333333333334
159237,ASSIS CARVALHO,PT,PI,10,0,1,0,1,NA
74090,ÁTILA LINS,PP,AM,1,2,1,7,8,87.5
74459,ÁTILA LIRA,PSB,PI,2,1,1,7,8,87.5
160665,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,11,0,0,0,0,NA
160512,AUREO RIBEIRO,SOLIDARIEDADE,RJ,4,1,2,4,6,66.66666666666666
69871,BACELAR,PODEMOS,BA,1,2,5,3,8,37.5
178975,BALEIA ROSSI,MDB,SP,8,1,0,2,2,NA
73701,BENEDITA DA SILVA,PT,RJ,3,1,6,1,7,14.285714285714285
141335,BETO FARO,PT,PA,3,2,5,1,6,16.666666666666664
178948,BETO ROSADO,PP,RN,6,1,2,2,4,50
141513,BILAC PINTO,DEM,MG,7,1,2,1,3,33.33333333333333
160538,BOHN GASS,PT,RS,4,1,5,1,6,16.666666666666664
74052,BOSCO COSTA,PL,SE,1,2,1,7,8,87.5
160589,BRUNA FURLAN,PSDB,SP,4,1,1,5,6,83.33333333333334
93083,CACÁ LEÃO,PP,BA,4,0,2,5,7,71.42857142857143
178829,CAPITÃO AUGUSTO,PL,SP,0,2,2,7,9,77.77777777777779
141401,CARLOS BEZERRA,MDB,MT,5,0,0,1,1,NA
178962,CARLOS GOMES,PRB,RS,7,1,2,1,3,33.33333333333333
178993,CARLOS HENRIQUE GAGUIM,DEM,TO,0,2,3,6,9,66.66666666666666
74262,CARLOS SAMPAIO,PSDB,SP,3,2,0,6,6,100
141398,CARLOS ZARATTINI,PT,SP,6,1,3,1,4,25
164360,CARMEN ZANOTTO,CIDADANIA,SC,6,0,0,5,5,100
178876,CÉLIO SILVEIRA,PSDB,GO,0,2,0,9,9,100
141405,CELSO MALDANER,MDB,SC,7,1,2,1,3,33.33333333333333
73441,CELSO RUSSOMANNO,PRB,SP,2,1,0,8,8,100
141439,CHICO D'ANGELO,PDT,RJ,4,1,1,5,6,83.33333333333334
178928,CHRISTIANE DE SOUZA YARED,PL,PR,0,2,1,8,9,88.88888888888889
178939,CLARISSA GAROTINHO,PROS,RJ,6,2,1,2,3,66.66666666666666
74537,CLAUDIO CAJADO,PP,BA,3,1,1,6,7,85.71428571428571
141408,CLEBER VERDE,PRB,MA,4,0,3,4,7,57.14285714285714
141411,DAGOBERTO NOGUEIRA,PDT,MS,5,0,0,6,6,100
74467,DAMIÃO FELICIANO,PDT,PB,5,0,1,5,6,83.33333333333334
74060,DANIEL ALMEIDA,PCdoB,BA,3,2,1,5,6,83.33333333333334
178916,DANIEL COELHO,CIDADANIA,PE,1,2,0,8,8,100
160528,DANILO CABRAL,PSB,PE,6,2,1,2,3,66.66666666666666
160552,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,3,1,0,7,7,100
73891,DARCÍSIO PERONDI,MDB,RS,3,1,1,6,7,85.71428571428571
178908,DELEGADO ÉDER MAURO,PSD,PA,5,1,0,5,5,100
164359,DELEGADO WALDIR,PSL,GO,7,1,1,2,3,66.66666666666666
160588,DIEGO ANDRADE,PSD,MG,8,1,0,2,2,NA
178929,DIEGO GARCIA,PODEMOS,PR,3,2,0,6,6,100
160599,DIMAS FABIANO,PP,MG,2,2,2,5,7,71.42857142857143
143632,DOMINGOS NETO,PSD,CE,10,1,0,0,0,NA
160758,DOMINGOS SÁVIO,PSDB,MG,4,2,2,3,5,60
178994,DULCE MIRANDA,MDB,TO,0,2,2,7,9,77.77777777777779
141417,EDIO LOPES,PL,RR,2,2,1,6,7,85.71428571428571
134812,EDMILSON RODRIGUES,PSOL,PA,7,0,4,0,4,0
74655,EDUARDO BARBOSA,PSDB,MG,1,2,0,8,8,100
92346,EDUARDO BOLSONARO,PSL,SP,6,0,0,5,5,100
178977,EDUARDO CURY,PSDB,SP,1,2,2,6,8,75
141421,EDUARDO DA FONTE,PP,PE,3,1,2,5,7,71.42857142857143
141422,EFRAIM FILHO,DEM,PB,3,2,2,4,6,66.66666666666666
74075,ELCIONE BARBALHO,MDB,PA,11,0,0,0,0,NA
160532,ELI CORRÊA FILHO,DEM,SP,7,1,1,2,3,66.66666666666666
178854,ELMAR NASCIMENTO,DEM,BA,6,2,1,2,3,66.66666666666666
132504,ENIO VERRI,PT,PR,5,1,4,1,5,20
160575,ERIKA KOKAY,PT,DF,3,1,6,1,7,14.285714285714285
160640,EROS BIONDINI,PROS,MG,5,1,1,4,5,80
178871,EVAIR VIEIRA DE MELO,PP,ES,4,1,2,4,6,66.66666666666666
178930,EVANDRO ROMAN,PSD,PR,1,2,0,8,8,100
178953,EXPEDITO NETTO,PSD,RO,2,1,1,7,8,87.5
141428,FÁBIO FARIA,PSD,RN,9,0,1,1,2,NA
178969,FÁBIO MITIDIERI,PSD,SE,2,2,2,5,7,71.42857142857143
141427,FÁBIO RAMALHO,MDB,MG,4,0,1,6,7,85.71428571428571
171623,FABIO REIS,MDB,SE,2,0,2,7,9,77.77777777777779
160587,FÁBIO TRAD,PSD,MS,0,2,1,8,9,88.88888888888889
66828,FAUSTO PINATO,PP,SP,3,1,4,3,7,42.857142857142854
72442,FELIPE CARRERAS,PSB,PE,0,2,1,8,9,88.88888888888889
160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,6,0,0,5,5,100
141431,FERNANDO COELHO FILHO,DEM,PE,4,1,2,4,6,66.66666666666666
92699,FERNANDO MONTEIRO,PP,PE,3,2,2,4,6,66.66666666666666
160598,FLÁVIA MORAIS,PDT,GO,5,1,1,4,5,80
141434,FLAVIANO MELO,MDB,AC,4,0,2,5,7,71.42857142857143
191923,FLAVIO NOGUEIRA,PDT,PI,4,0,1,6,7,85.71428571428571
160669,GENECIAS NORONHA,SOLIDARIEDADE,CE,9,1,0,1,1,NA
178966,GEOVANIA DE SÁ,PSDB,SC,5,1,1,4,5,80
74383,GIACOBO,PL,PR,9,0,1,1,2,NA
74270,GILBERTO NASCIMENTO,PSC,SP,5,0,1,5,6,83.33333333333334
160673,GIOVANI CHERINI,PL,RS,1,1,2,7,9,77.77777777777779
178996,GIOVANI FELTES,MDB,RS,2,1,2,6,8,75
152605,GLAUBER BRAGA,PSOL,RJ,0,2,7,2,9,22.22222222222222
74419,GONZAGA PATRIOTA,PSB,PE,4,2,3,2,5,40
160667,GUILHERME MUSSI,PP,SP,3,2,0,0,0,NA
178964,HEITOR SCHUCH,PSB,RS,2,1,3,5,8,62.5
178873,HELDER SALOMÃO,PT,ES,3,1,6,1,7,14.285714285714285
178909,HÉLIO LEITE,DEM,PA,1,2,2,6,8,75
73482,HENRIQUE FONTANA,PT,RS,3,2,5,1,6,16.666666666666664
178981,HERCULANO PASSOS,MDB,SP,0,2,0,9,9,100
73772,HERMES PARCIANELLO,MDB,PR,4,0,2,5,7,71.42857142857143
178884,HILDO ROCHA,MDB,MA,3,2,0,6,6,100
178959,HIRAN GONÇALVES,PP,RR,8,1,0,2,2,NA
141450,HUGO LEAL,PSD,RJ,2,1,2,6,8,75
160674,HUGO MOTTA,PRB,PB,2,2,2,5,7,71.42857142857143
67138,IRACEMA PORTELLA,PP,PI,6,1,2,2,4,50
73531,IVAN VALENTE,PSOL,SP,0,2,7,2,9,22.22222222222222
74848,JANDIRA FEGHALI,PCdoB,RJ,2,2,1,6,7,85.71428571428571
74273,JEFFERSON CAMPOS,PSB,SP,8,1,1,1,2,NA
160570,JERÔNIMO GOERGEN,PP,RS,3,1,1,6,7,85.71428571428571
178839,JÉSSICA SALES,MDB,AC,7,0,0,4,4,100
178842,JHC,PSB,AL,4,1,1,5,6,83.33333333333334
160531,JHONATAN DE JESUS,PRB,RR,5,2,1,3,4,75
74366,JOÃO CAMPOS,PRB,GO,4,2,3,2,5,40
141458,JOÃO CARLOS BACELAR,PL,BA,4,1,2,4,6,66.66666666666666
178970,JOÃO DANIEL,PT,SE,2,2,6,1,7,14.285714285714285
112437,JOÃO MARCELO SOUZA,MDB,MA,1,2,2,6,8,75
178910,JOAQUIM PASSARINHO,PSD,PA,0,2,1,8,9,88.88888888888889
178857,JORGE SOLLA,PT,BA,7,0,4,0,4,0
141464,JOSÉ AIRTON FÉLIX CIRILO,PT,CE,4,1,5,1,6,16.666666666666664
141470,JOSÉ GUIMARÃES,PT,CE,3,2,5,1,6,16.666666666666664
160619,JOSÉ NUNES,PSD,BA,1,2,2,6,8,75
74079,JOSÉ PRIANTE,MDB,PA,8,0,1,2,3,66.66666666666666
