"id","sigla","situacao"
"0","GOV","Ativo"
"36761","PEN","Inativo"
"36762","PPL","Ativo"
"36763","PROS","Ativo"
"36765","SD","Inativo"
"36769","DEM","Ativo"
"36779","PCdoB","Ativo"
"36786","PDT","Ativo"
"36793","PHS","Ativo"
"36800","PMDB","Inativo"
"36801","PMN","Ativo"
"36809","PP**","Inativo"
"36813","PPS","Extinto"
"36814","PR","Extinto"
"36815","PRB","Ativo"
"36824","PRP","Extinto"
"36829","PRTB","Ativo"
"36832","PSB","Ativo"
"36833","PSC","Ativo"
"36834","PSD","Ativo"
"36835","PSDB","Ativo"
"36836","PSDC","Inativo"
"36837","PSL","Ativo"
"36839","PSOL","Ativo"
"36844","PT","Ativo"
"36845","PTB","Ativo"
"36846","PTC","Ativo"
"36847","PTdoB","Inativo"
"36848","PTN","Inativo"
"36851","PV","Ativo"
"36886","REDE","Ativo"
"36887","PMB","Ativo"
"36896","PODE","Ativo"
"36898","AVANTE","Ativo"
"36899","MDB","Ativo"
"37900","PATRI","Extinto"
"37901","NOVO","Ativo"
"37902","DC","Ativo"
"37903","PP","Ativo"
"37904","SOLIDARIEDADE","Ativo"
"36781","PCO","Extinto"
"36843","PSTU","Extinto"
"36863","PCB","Inativo"
"37905","CIDADANIA","Ativo"
"37906","PL","Ativo"
"37907","PATRIOTA","Ativo"
