id,casa,nome,data_apresentacao,ementa,autor,indexacao,tema,uri_tramitacao
2238695,camara,REQ 408/2020,11/03/2020,"""Requer a realização de Sessão Solene em comemoração ao o centésimo sexagésimo sétimo aniversário de Emancipação do Estado do Paraná"".",Luizão Goulart - REPUBLIC/PR,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238695
2238696,camara,REQ 409/2020,11/03/2020,Requer a retirada de tramitação do RIC 203/2020.,Denis Bezerra - PSB/CE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238696
2238697,camara,VTS 2/0,11/03/2020,Voto em separado pela rejeiçãoi do Projeto de Lei nº 4/2020-CN," Randolfe Rodrigues - REDE/AP, Randolfe Rodrigues - REDE/AP",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238697
2238698,camara,PL 594/2020,11/03/2020,"Altera o art. 11-B da Lei nº 12.587, de 3 de janeiro de 2012, para exigir que os veículos utilizados para transporte remunerado privado individual de passageiros apresentem identificação da empresa junto à qual o motorista é credenciado, e dá outras providências.",Mário Heringer - PDT/MG,"Alteração, Lei da Política Nacional de Mobilidade Urbana, obrigatoriedade, veículo automotor, transporte por aplicativo, Aplicativo Uber, identificação, nome, empresa.","Cidades e Desenvolvimento Urbano, Viação, Transporte e Mobilidade",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238698
2238699,camara,INC 94/2020,11/03/2020,"Sugere ao Ministério da Infraestrutura, no âmbito da Agência Nacional de Aviação Civil - ANAC, que intervenha junto às companhias aéreas para que se proceda à remarcação gratuita de bilhetes ou ao reembolso integral dos valores pagos, dispensadas as multas contratuais, em caso de passagens compradas para países considerados de risco para Coronavírus - Covid-19.",Mário Heringer - PDT/MG,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238699
2238700,camara,RIC 211/2020,11/03/2020,"Requer informações ao senhor Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura, sobre o retorno do Boeing 737 MAX à aviação comercial no Brasil.",Mário Heringer - PDT/MG,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238700
2238701,camara,REQ 410/2020,11/03/2020,"Requer urgência, nos  termos do art. 155 do Regimento Interno, na apreciação do(a) 5416/2019.",Bosco Costa - PL/SE,NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238701
2238702,camara,PL 595/2020,11/03/2020,Assegura os direitos dos consumidores quando do cancelamento total ou parcial dos contratos de prestação dos serviços de telecomunicações e dá outras providências,João Maia - PL/RN,"Alteração, Lei Geral de Telecomunicações, direitos, Usuário de serviços, Serviços de telecomunicações, cancelamento, contrato, prestação de serviços, procedimento, agilização.","Comunicações, Direito e Defesa do Consumidor",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238702
2238703,camara,CVO 2/0,11/03/2020,"VOTO: pela aprovação na forma proposta pelo Poder Executivo. Quanto as 17 (dezessete) emendas apresentadas, foram REJEITADAS."," Cacá Leão - PP/BA, Cacá Leão - PP/BA",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238703
2238706,camara,VTS 1/0,11/03/2020,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), e o art. 96 da Lei nº 10.741, de 1º de outubro de 2003 (Estatuto do Idoso), para aperfeiçoar a disciplina do crédito ao consumidor e dispor sobre a prevenção e o tratamento do superendividamento."," Vinicius Carvalho - REPUBLIC/SP, Vinicius Carvalho - REPUBLIC/SP",NA,,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2238706
