id_deputado,cnpj_empresa,nome_doador,origem_receita,valor_doado
160508,00066716000191,LOGIN INFORMATICA COMERCIO E REPRESENTACAO LTDA,Recursos de pessoas jurídicas,8000
160508,00676262000170,PARTIDO DOS TRABALHADORES,Recursos de partido político,190000
160508,03912865000112,P.H.L- PROFISSIONAIS DE HIGIENE E LIMPEZA LTDA - ME,Recursos de pessoas jurídicas,300
160508,07435665000177,PORTO FINO EMPREEDIMENTOS MANUTENCAO E SERVICOS LTDA,Recursos de pessoas jurídicas,10000
160508,08311379000162,SULBAIANA EMPREENDIMENTOS LTDA - EPP,Recursos de pessoas jurídicas,11000
160508,12285441000166,PROJETEC - PROJETOS TECNICOS LTDA,Recursos de pessoas jurídicas,40000
160508,13477302000105,PARTIDO DOS TRABALHADORES,Recursos de partido político,10000
160508,13959986000173,SERTENGE S/A,Recursos de pessoas jurídicas,25000
160508,15103070000142,TERWAL MAQUINAS LTDA,Recursos de pessoas jurídicas,10000
160508,16948182000167,AZEVEDO & MATTEI  ADVOGADOS ASSOCIADOS,Recursos de pessoas jurídicas,300
160508,20563798000197,ELEICAO 2014 JURANDY CUNHA OLIVEIRA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,1010.02
160508,20570914000103,ELEICAO 2014 RUI COSTA DOS SANTOS GOVERNADOR,Recursos de outros candidatos/comitês,16183.25
136811,00887169000105,PARTIDO PROGRESSISTA,Recursos de partido político,1045000
136811,02459432000190,TTERRASUL - COMERCIO DE VEICULOS LTDA,Recursos de pessoas jurídicas,2500
136811,03647412000106,EMPRESA JORNALISTICA CIDADANIA COMUNICACAO LTDA - ME,Recursos de pessoas jurídicas,660
136811,04100556000100,TRACTEBEL ENERGIA COMERCIALIZADORA LTDA,Recursos de pessoas jurídicas,40000
136811,07287096000160,PURO GRAO INDUSTRIA E COMERCIO DE ARROZ E SOJA LTDA,Recursos de pessoas jurídicas,3000
136811,07810032000100,CEREALISTA CORADINI LTDA,Recursos de pessoas jurídicas,5000
136811,10606182000100,MATADOURO FRIGORIFICO PRODUCARNE LTDA,Recursos de pessoas jurídicas,2000
136811,42150391000170,BRASKEM S/A,Recursos de pessoas jurídicas,30000
136811,60643228000121,FIBRIA CELULOSE S/A,Recursos de pessoas jurídicas,40000
136811,74703034000189,PARTIDO PROGRESSISTA,Recursos de partido político,58760
136811,83286500000169,INDUSTRIA CARBONIFERA RIO DESERTO LTDA,Recursos de pessoas jurídicas,43000
136811,83647909000163,CARBONIFERA CRICIUMA S A,Recursos de pessoas jurídicas,27000
136811,87397865000111,PGL DISTRIBUICAO DE ALIMENTOS LTDA,Recursos de pessoas jurídicas,2000
136811,87412706000149,FRIGORIFICO FAMILE LTDA,Recursos de pessoas jurídicas,5000
136811,87675518000103,CORADINI ALIMENTOS LTDA,Recursos de pessoas jurídicas,1000
136811,87841193000191,SOCIEDADE LITERARIA E JORNALISTICA PRADENSE,Recursos de pessoas jurídicas,360
136811,88256979000104,CONSTRUTORA E PAVIMENTADORA PAVICON LTDA,Recursos de pessoas jurídicas,30000
136811,88611264000122,INTRAL SA INDUSTRIA DE MATERIAIS ELETRICOS,Recursos de pessoas jurídicas,2000
136811,90063470000197,CONPASUL CONSTRUCAO E SERVICOS LTDA,Recursos de pessoas jurídicas,24000
136811,92029453000169,EMPRESA JORNALISTICA DIARIO DA MANHA LTDA - EPP,Recursos de pessoas jurídicas,5499.54
136811,94912326000139,DALE CONSTRUCOES E INCORPORACOES LTDA,Recursos de pessoas jurídicas,5000
136811,95594164000109,PAMPEIRO S.A.-COMERCIO DE AUTOMOVEIS,Recursos de pessoas jurídicas,2000
178835,00613560000111,GLOBAL SOLUTIONS REPRESENTACOES COMERCIAIS LTDA - ME,Recursos de pessoas jurídicas,1000
178835,11234954000185,CMPC CELULOSE RIOGRANDENSE LTDA,Recursos de pessoas jurídicas,15000
178835,13012028000190,PEROBA EMPREENDIMENTOS IMOBILIARIOS LTDA.,Recursos de pessoas jurídicas,10000
178835,27907641000180,FATOR EMPREENDIMENTOS E PARTICIPACOES LTDA,Recursos de pessoas jurídicas,15000
178835,33876145000100,ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA.,Recursos de pessoas jurídicas,30000
178835,42150391000170,BRASKEM S/A,Recursos de pessoas jurídicas,30000
178835,60730645000454,EPT ENGENHARIA E PESQUISAS TECNOLOGICAS SA,Recursos de pessoas jurídicas,5000
178835,87371613000113,COMPETENCE COMUNICACAO E MARKETING LTDA,Recursos de pessoas jurídicas,30000
178835,88483128000102,PARTIDO DEMOCRATICO TRABALHISTA,Recursos de partido político,259900
178835,88849773000198,STE SERVICOS TECNICOS DE ENGENHARIA SA,Recursos de pessoas jurídicas,5000
178835,88919667000133,BERALV PARTICIPACOES S.A.,Recursos de pessoas jurídicas,10000
178835,91235549000110,VONPAR REFRESCOS S A,Recursos de pessoas jurídicas,20000
178835,93015006000113,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,Recursos de pessoas jurídicas,20000
160527,00887169000105,PARTIDO PROGRESSISTA,Recursos de partido político,100000
160527,08598391000108,RIO CLARO AGROINDUSTRIAL S.A.,Recursos de pessoas jurídicas,30000
160527,09041821000140,ANTARES EMPREENDIMENTOS IMOBILIARIOS LTDA - EPP,Recursos de pessoas jurídicas,60000
160527,20574237000193,ELEICAO 2014 ARNALDO MONTEIRO COSTA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,1395
160527,20577738000123,ELEICAO 2014 EVA ELIANA RAMOS GOUVEIA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,56.25
160527,33931478000194,SALOBO METAIS S/A,Recursos de pessoas jurídicas,200000
160527,56993900000131,COMPANHIA METALURGICA PRADA,Recursos de pessoas jurídicas,75000
160527,60701190000104,ITAU UNIBANCO S.A.,Recursos de pessoas jurídicas,100000
160527,70118955000123,PARTIDO PROGRESSISTA,Recursos de partido político,1175870
178836,03885631000123,ACRE MOTORS LTDA,Recursos de pessoas jurídicas,2000
178836,20603420000170,ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO FEDERAL PT,Recursos de outros candidatos/comitês,170000
178836,20633177000132,ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRB,Recursos de outros candidatos/comitês,298199.17
160559,00676213000138,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO - DIRETORIO NACIONAL,Recursos de partido político,360000
160559,02077639000109,DOBIL ENGENHARIA LTDA,Recursos de pessoas jurídicas,200
160559,02471339000100,QUATRO ESTACOES INDUSTRIA GRAFICA LTDA - EPP,Recursos de pessoas jurídicas,1934.5
160559,03186880000120,"DINACON INDUSTRIA, COMERCIO E SERVICOS LTDA",Recursos de pessoas jurídicas,10000
160559,03835656000112,CACIQUE DERIVADOS DE PETROLEO LTDA,Recursos de pessoas jurídicas,2000
160559,04175339000180,FROZZA & OLIVEIRA LTDA - ME,Recursos de pessoas jurídicas,12350
160559,05607606000103,ANTONIO DE MORAES VALLS,Recursos de pessoas jurídicas,500
160559,07027856000108,NOSCHANG ARTES GRAFICAS LTDA,Recursos de pessoas jurídicas,26668.6
160559,07347138000100,REAL-REGENERACAO AGROPECUARIA LTDA,Recursos de pessoas jurídicas,2400
160559,07604699000148,BULKTECH TECNOLOGIA E AUTOMACAO LTDA - EPP,Recursos de pessoas jurídicas,6000
160559,08651140000131,CORDOARIA SAO LEOPOLDO ORIGINAL LTDA,Recursos de pessoas jurídicas,10000
160559,10281760000178,AGROPECUARIA ARAGUARI LTDA,Recursos de pessoas jurídicas,250000
160559,11234954000185,CMPC CELULOSE RIOGRANDENSE LTDA,Recursos de pessoas jurídicas,20000
160559,14828784000155,AGRONOL AGRO INDUSTRIAL S/A,Recursos de pessoas jurídicas,8489.21
160559,15355433000137,ENERPLAN ENERGIA EOLICA V S.A.,Recursos de pessoas jurídicas,10000
160559,20569767000143,ELEICAO 2014 MICHEL MIGUEL ELIAS TEMER LULIA VICE-PRESIDENTE,Recursos de outros candidatos/comitês,50000
160559,20603433000149,ELEICAO 2014 COMITE FINANCEIRO RS UNICO PMDB,Recursos de outros candidatos/comitês,41000
160559,33876145000100,ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA.,Recursos de pessoas jurídicas,40000
160559,42150391000170,BRASKEM S/A,Recursos de pessoas jurídicas,30000
160559,48662175000190,COPLANA - COOPERATIVA AGROINDUSTRIAL,Recursos de pessoas jurídicas,80000
160559,57494031000163,COMPANHIA BRASILEIRA DE CARTUCHOS,Recursos de pessoas jurídicas,20000
160559,60643228000121,FIBRIA CELULOSE S/A,Recursos de pessoas jurídicas,40000
160559,63517098000179,MINERACAO GRAUNA LTDA - EPP,Recursos de pessoas jurídicas,10000
160559,84430800000132,COMPANHIA MINUANO DE ALIMENTOS,Recursos de pessoas jurídicas,4000
160559,87582714000133,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,Recursos de partido político,95000
160559,87654547000199,COESUL-CONSTRUTORA EXTREMO SUL LTDA,Recursos de pessoas jurídicas,20000
160559,87702528000190,GRANJA PINHEIROS LTDA,Recursos de pessoas jurídicas,1000
160559,87723474000140,IMS - SOLUCOES EM ENERGIA LTDA,Recursos de pessoas jurídicas,13000
160559,88256979000104,CONSTRUTORA E PAVIMENTADORA PAVICON LTDA,Recursos de pessoas jurídicas,20000
160559,88815295000103,PIRAHY ALIMENTOS LTDA,Recursos de pessoas jurídicas,15000
160559,89751036000110,FRIGORIFICO NICOLINI LTDA,Recursos de pessoas jurídicas,3000
160559,92712991000153,CAPAO NOVO EMPREENDIMENTOS IMOBILIARIOS LTDA,Recursos de pessoas jurídicas,10000
160559,92782705000126,TMSA - TECNOLOGIA EM MOVIMENTACAO S/A,Recursos de pessoas jurídicas,21000
160559,93015006000113,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,Recursos de pessoas jurídicas,20000
160559,94082641000267,RESULTA IMPORT EXPORT E REPRESENTACAO MAQUINAS LTDA,Recursos de pessoas jurídicas,10000
160511,00676262000170,PARTIDO DOS TRABALHADORES,Recursos de partido político,190000
160511,10265949000177,COPERSUCAR S.A.,Recursos de pessoas jurídicas,110000
160511,20567833000146,ELEICAO 2014 CARLOS MINC BAUMFELD DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,9681
160511,20570274000123,ELEICAO 2014 DILMA VANA ROUSSEFF PRESIDENTE,Recursos de outros candidatos/comitês,70645.5
160511,20577855000197,ELEICAO 2014 LUIZ LINDBERGH FARIAS FILHO GOVERNADOR,Recursos de outros candidatos/comitês,135
160511,33931478000194,SALOBO METAIS S/A,Recursos de pessoas jurídicas,50000
160511,60701190000104,ITAU UNIBANCO S.A.,Recursos de pessoas jurídicas,125000
160511,60899937000172,CACAPAVA EMPREITADA DE LAVOR LTDA,Recursos de pessoas jurídicas,75000
160511,72820822000120,SKY BRASIL SERVICOS LTDA,Recursos de pessoas jurídicas,50000
178972,01703312000124,ABC CARGAS LTDA,Recursos de pessoas jurídicas,341900
178972,03418949000102,J. EDUC FABRIL - EIRELI - EPP,Recursos de pessoas jurídicas,125851
178972,03667842000190,CBPL CONSTRUTORA LTDA,Recursos de pessoas jurídicas,28782
178972,04393926000145,SMS - SEGURANCA MONITORAMENTO E SERVICOS LTDA - EPP,Recursos de pessoas jurídicas,19925
178972,04752133000175,AUTO ESCOLA NOVA INDUSTRIAL LTDA - ME,Recursos de pessoas jurídicas,8533.32
178972,05289159000191,LOCARES ADMINISTRACAO DE BENS LTDA,Recursos de pessoas jurídicas,14365.98
178972,10441834000196,SABRUMAM EMPREENDIMENTOS IMOBILIARIOS E PARTICIPACOES LTDA - ME,Recursos de pessoas jurídicas,8335.4
178972,11714976000142,K FABRIL EIRELI - EPP,Recursos de pessoas jurídicas,70074
178972,12474349000144,D.B. COMERCIAL EIRELI - ME,Recursos de pessoas jurídicas,5368
178972,20560422000129,ELEICAO 2014 FERNANDO CAPEZ DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,5115
178972,20560610000157,ELEICAO 2014 ROGERIO NOGUEIRA LOPES CRUZ DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,1799
178972,20560768000127,ELEICAO 2014 ORLANDO MORANDO JUNIOR DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,967.5
178972,20561337000185,ELEICAO 2014 JOSE ABELARDO GUIMARAES CAMARINHA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,635
178972,20561654000100,ELEICAO 2014 JOSE CARLOS VAZ DE LIMA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,10.2
178972,20561855000107,ELEICAO 2014 GILMAR DA SILVA GIMENES DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,6925
178972,20561939000132,ELEICAO 2014 DAVID ZAIA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,11375
178972,20571201000156,ELEICAO 2014 VANESSA DAMO OROSCO DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,2518.25
178972,20592601000148,ELEICAO 2014 COMITE FINANCEIRO SP DISTRITAL/ESTADUAL PARA GOVERNADOR PSDB,Recursos de outros candidatos/comitês,6944.46
178972,20654654000146,ELEICAO 2014 COMITE FINANCEIRO SP UNICO PPS,Recursos de outros candidatos/comitês,10000
178972,50844182000155,GOCIL SERVICOS DE VIGILANCIA E SEGURANCA LTDA,Recursos de pessoas jurídicas,50000
178972,56272537000165,PARTIDO POPULAR SOCIALISTA,Recursos de partido político,214000
178972,62227509000129,QUANTIQ DISTRIBUIDORA LTDA,Recursos de pessoas jurídicas,30000
178972,65853889000103,SERG PAULISTA CONSTRUCOES E SERVICOS TECNICOS LTDA,Recursos de pessoas jurídicas,50000
160545,01633510000169,DEMOCRATAS - DIRETORIO NACIONAL,Recursos de partido político,370000
160545,03999568000156,DEMOCRATAS - DIRETORIO MUNICIPAL EM SAO PAULO,Recursos de partido político,1072000
160545,20561040000110,ELEICAO 2014 MILTON LEITE DA SILVA FILHO DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,1615.6399999999999
160545,20592601000148,ELEICAO 2014 COMITE FINANCEIRO SP DISTRITAL/ESTADUAL PARA GOVERNADOR PSDB,Recursos de outros candidatos/comitês,6144.46
160545,20592611000183,ELEICAO 2014 COMITE FINANCEIRO SP UNICO DEM,Recursos de outros candidatos/comitês,187700
160545,20620278000179,ELEICAO 2014 COMITE FINANCEIRO SP DISTRITAL/ESTADUAL PARA SENADOR DA REPUBLICA PSDB,Recursos de outros candidatos/comitês,5716.67
160545,56267461000180,DEMOCRATAS-COMISSAO PROVISORIA ESTADUAL SAO PAULO,Recursos de partido político,2531000
178833,04532167000154,"BMB MODE CENTER -INDUSTRIA, COMERCIO E SERVICOS LTDA",Recursos de pessoas jurídicas,50000
178833,05994990000144,MANOS GRAFICA LTDA - ME,Recursos de pessoas jurídicas,1000
178833,07430035000100,"BIOTA CONSTRUCOES, SERVICOS E TRANSPORTES LTDA - EPP",Recursos de pessoas jurídicas,12000
178833,10652241000179,USICOSTA SERVICOS DE MANUTENCAO INDUSTRIAL LTDA - ME,Recursos de pessoas jurídicas,2000
178833,14705221000170,DIRETORIO ESTADUAL DO PARTIDO SOCIAL DEMOCRATICO - RIO DE JANEIRO / RJ.,Recursos de partido político,257000
178833,20581703000168,ELEICAO 2014 JORGE SAYED PICCIANI DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,17934
178833,20632466000117,ELEICAO 2014 COMITE FINANCEIRO RJ UNICO PMDB,Recursos de outros candidatos/comitês,39855
178833,28271195000123,POSTO DE ABASTECIMENTO DE COMBUSTIVEIS VILA NOVA LTDA,Recursos de pessoas jurídicas,1500
178833,31643851000267,VALLE SUL CONSTRUTORA E MINERADORA LTDA,Recursos de pessoas jurídicas,50000
74057,01273160000177,VANILDA OLIVEIRA AGUIAR SANTANA - ME,Recursos de pessoas jurídicas,800
74057,03505185000184,COMPANHIA RIOGRANDENSE DE VALORIZACAO DE RESIDUOS,Recursos de pessoas jurídicas,50000
74057,13758016000100,PARTIDO COMUNISTA DO BRASIL,Recursos de partido político,3595
74057,14551451000121,ELETRODISCO GANDUENSE LTDA,Recursos de pessoas jurídicas,20000
74057,20561400000183,ELEICAO 2014 MARIA OLIVIA SANTANA DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,400
74057,20564700000116,ELEICAO 2014 DANIEL GOMES DE ALMEIDA DEPUTADO FEDERAL,Recursos de outros candidatos/comitês,70000
74057,20565429000133,ELEICAO 2014 DAVIDSON DE MAGALHAES SANTOS DEPUTADO FEDERAL,Recursos de outros candidatos/comitês,50000
74057,20568096000104,ELEICAO 2014 ANGELO MARIO CORONEL DE AZEVEDO MARTINS DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,80
74057,20570914000103,ELEICAO 2014 RUI COSTA DOS SANTOS GOVERNADOR,Recursos de outros candidatos/comitês,26089.84
74057,32620841000198,FARMACIA MORIMOTO LTDA,Recursos de pessoas jurídicas,11000
74057,54956495000156,PARTIDO COMUNISTA DO BRASIL,Recursos de partido político,530000
74057,62227509000129,QUANTIQ DISTRIBUIDORA LTDA,Recursos de pessoas jurídicas,30000
178927,17213149000151,PCDOB - 65 PARTIDO COMUNISTA DO BRASIL DIRETORIO ESTADUAL - PR,Recursos de partido político,20000
178927,20559538000148,ELEICAO 2014 GLEISI HELENA HOFFMANN GOVERNADOR,Recursos de outros candidatos/comitês,144959
178927,20576621000125,ELEICAO 2014 JOSE RODRIGUES LEMOS DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,800
178927,20576749000199,ELEICAO 2014 MARLY PAULINO FAGUNDES DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,233.5
178927,20576946000108,ELEICAO 2014 MARCIO ADRIANO PAULIKI DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,146756.52
178927,20580490000150,ELEICAO 2014 PERICLES DE HOLLEBEN MELLO DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,7702.5
178927,54956495000156,PARTIDO COMUNISTA DO BRASIL,Recursos de partido político,200000
178927,82263609000118,AUTO POSTO WOUK LTDA - EPP,Recursos de pessoas jurídicas,2000
178937,03752385000131,CARTA GOIAS INDUSTRIA E COMERCIO DE PAPEL S.A.,Recursos de pessoas jurídicas,120000
178937,04415395000144,CRYOPRAXIS - CRIOBIOLOGIA LTDA,Recursos de pessoas jurídicas,320000
178937,08930016000296,NOVA LOG TRANSPORTES E SERVICOS LTDA,Recursos de pessoas jurídicas,1350
178937,20581868000130,ELEICAO 2014 LUIZ ANTONIO MARTINS DEPUTADO ESTADUAL,Recursos de outros candidatos/comitês,1750
178881,03104756000179,J. H.H NICOLAU - ME,Recursos de pessoas jurídicas,75000
