ano,id_proposicao,id_votacao,id_parlamentar,voto,partido,casa
2019,16526,168392211,141417,0,PL,camara
2019,16526,168392211,204465,0,PSD,camara
2019,16526,168392211,178959,0,PP,camara
2019,16526,168392211,160531,0,PRB,camara
2019,16526,168392211,204468,2,REDE,camara
2019,16526,168392211,204479,-1,PSL,camara
2019,16526,168392211,204475,-1,SOLIDARIEDADE,camara
2019,16526,168392211,178961,0,PSDB,camara
2019,16526,168392211,204379,0,PROS,camara
2019,16526,168392211,204353,0,PRB,camara
2019,16526,168392211,178831,-1,PP,camara
2019,16526,168392211,204352,2,PSB,camara
2019,16526,168392211,204375,0,AVANTE,camara
2019,16526,168392211,160645,1,PSDB,camara
2019,16526,168392211,160641,0,PCdoB,camara
2019,16526,168392211,160591,0,PL,camara
2019,16526,168392211,204495,2,PT,camara
2019,16526,168392211,141335,0,PT,camara
2019,16526,168392211,204499,2,PSB,camara
2019,16526,168392211,204496,-1,PSDB,camara
2019,16526,168392211,135054,0,PL,camara
2019,16526,168392211,178908,0,PSD,camara
2019,16526,168392211,134812,2,PSOL,camara
2019,16526,168392211,204500,-1,PTB,camara
2019,16526,168392211,74075,-1,MDB,camara
2019,16526,168392211,178909,-1,DEM,camara
2019,16526,168392211,178910,-1,PSD,camara
2019,16526,168392211,74079,-1,MDB,camara
2019,16526,168392211,204497,0,PSD,camara
2019,16526,168392211,74352,-1,PSDB,camara
2019,16526,168392211,204498,-1,DEM,camara
2019,16526,168392211,204538,-1,PTB,camara
2019,16526,168392211,204505,-1,PRB,camara
2019,16526,168392211,204572,-1,PRB,camara
2019,16526,168392211,74090,0,PP,camara
2019,16526,168392211,204551,0,SOLIDARIEDADE,camara
2019,16526,168392211,204569,-1,PSL,camara
2019,16526,168392211,204555,2,PT,camara
2019,16526,168392211,204556,0,PL,camara
2019,16526,168392211,204557,-1,PSD,camara
2019,16526,168392211,74356,0,PRB,camara
2019,16526,168392211,204378,-1,PSL,camara
2019,16526,168392211,178953,1,PSD,camara
2019,16526,168392211,108338,0,PP,camara
2019,16526,168392211,204359,-1,PODEMOS,camara
2019,16526,168392211,178954,1,MDB,camara
2019,16526,168392211,178956,-1,PSDB,camara
2019,16526,168392211,141508,-1,PSB,camara
2019,16526,168392211,204360,0,PDT,camara
2019,16526,168392211,178836,-1,DEM,camara
2019,16526,168392211,141434,0,MDB,camara
2019,16526,168392211,178839,0,MDB,camara
2019,16526,168392211,204435,0,PDT,camara
2019,16526,168392211,204469,-1,PRB,camara
2019,16526,168392211,204471,-1,PSDB,camara
2019,16526,168392211,73943,0,PCdoB,camara
2019,16526,168392211,204434,-1,SOLIDARIEDADE,camara
2019,16526,168392211,178993,0,DEM,camara
2019,16526,168392211,204370,3,PT,camara
2019,16526,168392211,178994,0,MDB,camara
2019,16526,168392211,204364,-1,SOLIDARIEDADE,camara
2019,16526,168392211,204363,-1,PSC,camara
2019,16526,168392211,160639,0,DEM,camara
2019,16526,168392211,143084,-1,SOLIDARIEDADE,camara
2019,16526,168392211,137070,0,PL,camara
2019,16526,168392211,178881,0,PODEMOS,camara
2019,16526,168392211,178882,-1,PP,camara
2019,16526,168392211,204561,2,PSB,camara
2019,16526,168392211,141408,0,PRB,camara
2019,16526,168392211,204562,-1,PSD,camara
2019,16526,168392211,204552,-1,PMN,camara
2019,16526,168392211,204575,0,PDT,camara
2019,16526,168392211,178884,-1,MDB,camara
2019,16526,168392211,112437,0,MDB,camara
2019,16526,168392211,204563,0,PL,camara
2019,16526,168392211,204574,0,PL,camara
2019,16526,168392211,178886,-1,DEM,camara
2019,16526,168392211,81055,0,PCdoB,camara
2019,16526,168392211,204566,-1,PATRIOTA,camara
2019,16526,168392211,204570,0,PMN,camara
2019,16526,168392211,122974,-1,PTB,camara
2019,16526,168392211,178889,0,PT,camara
2019,16526,168392211,204549,0,PP,camara
2019,16526,168392211,133439,0,PDT,camara
2019,16526,168392211,204487,-1,PROS,camara
2019,16526,168392211,204488,-1,PV,camara
2019,16526,168392211,204542,2,PSB,camara
2019,16526,168392211,143632,0,PSD,camara
2019,16526,168392211,204481,0,PL,camara
2019,16526,168392211,204541,0,PDT,camara
2019,16526,168392211,160669,0,SOLIDARIEDADE,camara
2019,16526,168392211,204548,0,PSL,camara
2019,16526,168392211,204533,2,PDT,camara
2019,16526,168392211,141464,0,PT,camara
2019,16526,168392211,141470,0,PT,camara
2019,16526,168392211,204550,-1,PL,camara
2019,16526,168392211,74299,0,PDT,camara
2019,16526,168392211,178866,0,PT,camara
2019,16526,168392211,178997,0,MDB,camara
2019,16526,168392211,90201,-1,PTB,camara
2019,16526,168392211,204489,0,PDT,camara
2019,16526,168392211,74305,-1,PSDB,camara
2019,16526,168392211,195866,-1,PROS,camara
2019,16526,168392211,159237,0,PT,camara
2019,16526,168392211,74459,-1,PSB,camara
2019,16526,168392211,191923,0,PDT,camara
2019,16526,168392211,67138,-1,PP,camara
2019,16526,168392211,74317,0,PSD,camara
2019,16526,168392211,204431,0,MDB,camara
2019,16526,168392211,204430,0,PP,camara
2019,16526,168392211,204432,-1,SOLIDARIEDADE,camara
2019,16526,168392211,178925,3,PT,camara
2019,16526,168392211,109429,-1,PRB,camara
2019,16526,168392211,141428,0,PSD,camara
2019,16526,168392211,178948,0,PP,camara
2019,16526,168392211,204473,0,PSL,camara
2019,16526,168392211,141459,-1,PL,camara
2019,16526,168392211,204453,2,PT,camara
2019,16526,168392211,178951,0,PSB,camara
2019,16526,168392211,178952,0,MDB,camara
2019,16526,168392211,160527,0,PP,camara
2019,16526,168392211,74467,0,PDT,camara
2019,16526,168392211,204421,-1,PSDB,camara
2019,16526,168392211,141422,-1,DEM,camara
2019,16526,168392211,204393,3,PT,camara
2019,16526,168392211,204394,0,PSB,camara
2019,16526,168392211,160674,-1,PRB,camara
2019,16526,168392211,204420,-1,PSL,camara
2019,16526,168392211,178912,0,PSDB,camara
2019,16526,168392211,160635,-1,PSDB,camara
2019,16526,168392211,74043,0,PL,camara
2019,16526,168392211,74044,-1,PTB,camara
2019,16526,168392211,74471,0,PSD,camara
