id_deputado,num_req_informacao
122974,4
134812,11
141401,1
141439,1
141450,2
143084,1
152605,10
159237,5
160511,1
160528,1
160535,7
160556,5
160559,1
160575,1
160604,1
160610,1
160653,1
160655,1
162332,1
178842,1
178843,2
178889,6
178925,1
178954,1
178970,8
178986,11
204352,2
204353,2
204359,2
204378,1
204381,1
204389,2
204391,2
204393,2
204394,2
204407,10
204420,1
204421,1
204429,3
204433,3
204435,38
204438,1
204450,1
204452,1
204453,2
204464,8
204494,1
204495,2
204496,1
204503,3
204505,1
204509,10
204510,1
204517,2
204530,5
204533,1
204535,13
204536,4
204543,2
204545,3
204555,1
204556,2
204561,1
204572,7
204576,2
205234,2
205548,9
209189,1
72442,1
73466,1
73531,22
73586,1
73696,1
73943,6
74052,1
74158,4
74160,4
74200,2
74299,3
74467,1
74571,1
74784,7
76874,9
