CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
59791160000149,A & A COMERCIO TRANSPORTES E SERVICOS LTDA,AVENIDA GASTAO VIDIGAL,SN,VILA LEOPOLDINA,05314000,SAO PAULO,SP,4639 - Comércio atacadista de produtos alimentícios em geral,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
84036771000129,A A FURLIN - EPP,AVENIDA DAS GUIANAS,1670,SAO VICENTE,69303485,BOA VISTA,RR,"4744 - Comércio varejista de ferragens, madeira e materiais de construção",213 - FIRMA MERCANTIL INDIVIDUAL
00124489000103,A ADRIATICA COMERCIO DE MOVEIS LTDA,RUA NESTOR PEREIRA HABKOST,90,TOMAZ COELHO,83707000,ARAUCARIA,PR,3101 - Fabricação de móveis com predominância de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
90537804000117,A B COSTANTIN & CIA LTDA,RUA DUQUE DE CAXIAS,903,AMERICANO,95900564,LAJEADO,RS,4689 - Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
78862497000144,A BENTHIEN & CIA LTDA,RUA CELSO RAMOS,3149,CENTRO,89124000,BENEDITO NOVO,SC,"1622 - Fabricação de estruturas de madeira e de artigos de carpintaria para 
construção",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
89716583000165,A BUHLER SA CURTUME,AVENIDA CAPIVARA,700,HARMONIA,93900000,IVOTI,RS,1510 - Curtimento e outras preparações de couro,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
43103126000102,A C CORREA CIA LTDA,RUA ANGATURAMA,99,VILA DAS MERCES,04164010,SAO PAULO,SP,3032 - Fabricação de peças e acessórios para veículos ferroviários,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
47301221000163,A C INDUSTRIA E COMERCIO DE MAQUINAS LTDA,RUA SUSANA,276,JDIM INDEPENDENCIA,08210040,SAO PAULO,SP,2829 - Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
54804497000120,A C SOM INDUSTRIA E COM DE INSTRUMENTOS MUSICAIS LTDA,RUA DONA ANA NERY,1.221,CAMBUCI,01522000,SAO PAULO,SP,3220 - Fabricação de instrumentos musicais,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
61372058000150,A CARNEVALLI CIA LTDA,AVENIDA GUINLE,160,CIDADE INDUSTRIAL,07221070,GUARULHOS,SP,2869 - Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
61375879000140,A CHIMICAL S A,RUA CHIMICAL,1001,VILA MORAES,08766551,MOGI DAS CRUZES,SP,2029 - Fabricação de produtos químicos orgânicos não especificados anteriormente,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
61375879000302,A CHIMICAL S A,ESTRADA MUNICIPAL DO TANAKA,S/N,VILA MORAES,08725630,MOGI DAS CRUZES,SP,2029 - Fabricação de produtos químicos orgânicos não especificados anteriormente,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
49289010000188,A COLAMARINO COMERCIO E INDUSTRIA LTDA,AVENIDA CHIYO YAMAMOTO,148,VILA SADOKIN,07176040,GUARULHOS,SP,2452 - Fundição de metais nãoferrosos e suas ligas,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
02017264002631,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA SANTA TEREZINHA,2049,MENINO DEUS,89600000,JOACABA,SC,"1041 - Fabricação de óleos vegetais em bruto, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264001236,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,S/N,BAIRRO DO ESTUARIO,11020300,SANTOS,SP,5211 - Armazenamento,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264003107,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA SENADOR ATTILIO FONTANA,1001,DISTRITO INDUSTRIAL,78745800,RONDONOPOLIS,MT,"1042 - Fabricação de óleos vegetais refinados, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264000930,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA PRINCIPAL 01 - SALA 01,100,INDUBRASIL,79108550,CAMPO GRANDE,MS,"1042 - Fabricação de óleos vegetais refinados, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264000183,A D M EXPORTADORA E IMPORTADORA S/A,RUA ABIAIL DO AMARAL CARNEIRO,41,ENSEADA DO SUA,29050535,VITORIA,ES,"4623 - Comércio atacadista de animais vivos, alimentos para animais e matériasprimas agrícolas, exceto café e soja",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264000345,A D M EXPORTADORA E IMPORTADORA S/A,"AVENIDA ROQUE PETRONI JUNIOR, 4.AND.S/42",999,MORUMBI,04707910,SAO PAULO,SP,"4623 - Comércio atacadista de animais vivos, alimentos para animais e matériasprimas agrícolas, exceto café e soja",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
02017264001317,A D M EXPORTADORA E IMPORTADORA S/A,AVENIDA SENADOR ATTILIO FONTANA,1501,IMBOCUI,83203970,PARANAGUA,PR,"1041 - Fabricação de óleos vegetais em bruto, exceto óleo de milho",205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
84643881000159,A. DE OLIVEIRA MARTINS EIRELI,AVENIDA JARU,1708,SETOR DE AREAS ESPEC,76870262,ARIQUEMES,RO,1610 - Desdobramento de madeira,230 - EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (NATUREZA EMPRESARIA)
25422288000113,A ELETROTECNICA INDUSTRIA DE MATERIAL ELETRICO LTDA,AVENIDA FRANCISCO PODBOY,333,DISTRITO INDUSTRIAL,38056640,UBERABA,MG,2790 - Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
88535299000120,A F DUPONT E CIA LTDA - EPP,RUA SAO FRANCISCO,81,CENTRO,99855000,SAO JOAO DA URTIGA,RS,1610 - Desdobramento de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
08564981000101,A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA,RUA FRANCISCO BEZERRA DE MACEDO,02,ABOLICAO,59612450,MOSSORO,RN,1031 - Fabricação de conservas de frutas,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
61259024000154,A. FERRO COMERCIO DE CONFECCOES LTDA. - ME,AVENIDA PAULO FACCINI,1579,PQ. RENATO MAIA,07115000,GUARULHOS,SP,4642 - Comércio atacadista de artigos do vestuário e acessórios,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
45769809000110,A FRIEDBERG DO BRASIL INDUSTRIA E COMERCIO LIMITADA,RUA AUGUST FRIEDBERG,111,CHACARAS SAO PEDRO,13190000,MONTE MOR,SP,2599 - Fabricação de produtos de metal não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
20844536000109,A G C F E COM E EXPORTACAO LTDA - ME,AVENIDA BARAO DO RIO BRANCO,358,BAIXADA,36900000,MANHUACU,MG,4621 - Comércio atacadista de café em grão,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
71901961000115,A G V AUTOMACAO E LOGISTICA INDUSTRIAL LTDA - ME,RUA ALEXANDRE MARCONDES FILHO,305,VL MARLENE,09726330,SAO BERNARDO DO CAMPO,SP,4751 - Comércio varejista especializado de equipamentos e suprimentos de informática,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
97755177000130,A. GRINGS S.A.,RUA GENERAL ERNESTO DORNELLES,577,CENTRO,95650000,IGREJINHA,RS,1533 - Fabricação de calçados de material sintético,205 - SOCIEDADE ANONIMA FECHADA-EMPRESA PRIVADA
76295344000137,A J RORATO & CIA LTDA,RODOVIA 465,SN,CHACARA EDEM,87260000,ARARUNA,PR,3101 - Fabricação de móveis com predominância de madeira,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01291605000141,A. L. DE SOUZA JESUS DISTRIBUIDORA,AVENIDA CORONEL JOAQUIM MONTENEGRO,454,PONTA DA PRAIA,11035002,SANTOS,SP,"4693 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",213 - FIRMA MERCANTIL INDIVIDUAL
00128729000148,A L S COMERCIO DE MATERIAIS E PESCADOS LTDA,RUA VEREADOR HENRIQUE SOLER,282,PONTA DA PRAIA,11030011,SANTOS,SP,4789 - Comércio varejista de outros produtos novos não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
60579216000185,A M E AUTOMACAO DE MAQUINAS E EQUIPAMENTOS LTDA - EPP,RUA ALCIDES BARRERA,260,VILA CAMATARI,13350000,ELIAS FAUSTO,SP,2829 - Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01967898000134,A M GUIMARAES,AVENIDA DAS GUIANAS,1474,SAO VICENTE,69303485,BOA VISTA,RR,"4623 - Comércio atacadista de animais vivos, alimentos para animais e matériasprimas agrícolas, exceto café e soja",213 - FIRMA MERCANTIL INDIVIDUAL
43057934000415,A M P DO BRASIL CONECTORES ELETRICOS E ELETRONICOS LTDA,RUA AMPERE,304,CAMPO DA PENHA,12900005,BRAGANCA PAULISTA,SP,2790 - Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
43057934000172,A M P DO BRASIL CONECTORES ELETRICOS E ELETRONICOS LTDA,RUA ADO BENATTI,53,LAPA,05037010,SAO PAULO,SP,4663 - Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01057198000102,A M TRINDADE - ME,RODOVIA ARTHUR BERNARDES - KM 14,S/N,ICOARACI,66825000,BELEM,PA,0311 - Pesca em água salgada,213 - FIRMA MERCANTIL INDIVIDUAL
28154862000198,A MADEIRA INDUSTRIA E COMERCIO LTDA,AVENIDA JOAO PALACIO,501,EURICO SALLES,29160161,SERRA,ES,4211 - Construção de rodovias e ferrovias,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
