grupo_atividade_economica,id_parlamentar,nome_eleitoral,sg_partido,uf,cnpj,razao_social,data_entrada_sociedade
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",74419,GONZAGA PATRIOTA,PSB,PE,00044180000103,CLUBE DO CONGRESSO,2014-10-14
SAÚDE HUMANA E SERVIÇOS SOCIAIS,73891,DARCÍSIO PERONDI,MDB,RS,00063822000111,FRENTE PARLAMENTAR DA SAUDE,2009-07-23
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000179,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000250,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000330,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000411,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000500,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000683,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",166402,MAGDA MOFATTO,PL,GO,00071556000764,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000845,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556000926,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556001060,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556001140,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
ALOJAMENTO E ALIMENTAÇÃO,166402,MAGDA MOFATTO,PL,GO,00071556001221,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
OUTRAS ATIVIDADES DE SERVIÇOS,166402,MAGDA MOFATTO,PL,GO,00071556001302,ROMA HOTEIS E REALIZACOES LTDA,1994-05-02
INFORMAÇÃO E COMUNICAÇÃO,179001,MÁRCIO BIOLCHI,MDB,RS,00071856000158,EDITORA JORNALISTICA NOTICIOSO LTDA,1998-01-29
CONSTRUÇÃO,141458,JOÃO CARLOS BACELAR,PL,BA,00079903000100,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,2014-08-05
CONSTRUÇÃO,141458,JOÃO CARLOS BACELAR,PL,BA,00079903000290,CRIS CONSTRUCOES E EMPREENDIMENTOS LTDA,2014-08-05
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",742,Marcelo Castro,MDB,PI,00111437000100,CITY FACTORING FOMENTO COMERCIAL LTDA,1994-07-13
OUTRAS ATIVIDADES DE SERVIÇOS,74161,REGINALDO LOPES,PT,MG,00132263000154,COMISSAO EXEC MUNICIPAL DO PARTIDO DOS TRABALHADORES,2005-09-12
CONSTRUÇÃO,204399,SCHIAVINATO,PP,PR,00188544000129,BECSUL EMPREEND E INCORPORACOES IMOBILIARIAS LTDA,1999-12-16
MINERAÇÃO,166402,MAGDA MOFATTO,PL,GO,00209028000133,MINERADORA PEDRA LISA LTDA,1999-04-06
CONSTRUÇÃO,160545,ALEXANDRE LEITE,DEM,SP,00217624000165,CONSTRUTORA INCORPORADORA E COMERCIO NEUMAX LTDA,2010-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",204485,LUIZ CARLOS MOTTA,PL,SP,00223924000157,COOPERATIVA HABITACIONAL COMERCIARIOS ESTADO SAO PAULO,2018-06-26
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000120,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000201,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000392,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000473,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000554,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000635,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000716,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000805,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270000988,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001011,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001100,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001283,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001364,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001445,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001526,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001607,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",74478,LUCIANO BIVAR,PSL,PE,00298270001798,BRASIFACTOR FOMENTO COMERCIAL LTDA,2016-06-21
