id,casa,nome_eleitoral,uf,sg_partido,faltou,liberado,nao_seguiu,seguiu,total_votacoes,aderencia,selecionado,aderencia_temas_governo
160508,camara,AFONSO FLORENCE,BA,PT,72,25,174,40,214,18.69158878504673,FALSE,13.953488372093023
136811,camara,AFONSO HAMM,RS,PP,55,31,19,206,225,91.55555555555556,FALSE,93.33333333333333
178835,camara,AFONSO MOTTA,RS,PDT,52,24,129,106,235,45.1063829787234,FALSE,39.86013986013986
160527,camara,AGUINALDO RIBEIRO,PB,PP,189,17,16,89,105,84.76190476190476,TRUE,88
178836,camara,ALAN RICK,AC,DEM,48,32,20,211,231,91.34199134199135,FALSE,93.38235294117648
160559,camara,ALCEU MOREIRA,RS,MDB,103,19,5,184,189,97.35449735449735,FALSE,100
160511,camara,ALESSANDRO MOLON,RJ,PSB,109,19,141,42,183,22.950819672131146,FALSE,19.642857142857142
178972,camara,ALEX MANENTE,SP,CIDADANIA,141,17,23,130,153,84.9673202614379,FALSE,91.02564102564102
160545,camara,ALEXANDRE LEITE,SP,DEM,46,30,27,208,235,88.51063829787233,FALSE,89.58333333333334
178833,camara,ALEXANDRE SERFIOTIS,RJ,PSD,65,31,35,180,215,83.72093023255815,FALSE,87.21804511278195
74057,camara,ALICE PORTUGAL,BA,PCdoB,29,33,187,62,249,24.899598393574294,FALSE,19.463087248322147
178927,camara,ALIEL MACHADO,PR,PSB,80,27,127,77,204,37.745098039215684,FALSE,27.64227642276423
178937,camara,ALTINEU CÔRTES,RJ,PL,87,23,27,174,201,86.56716417910447,FALSE,86.5079365079365
178881,camara,ALUISIO MENDES,MA,PSC,108,22,18,163,181,90.05524861878453,FALSE,88.79310344827587
178831,camara,ANDRÉ ABDON,AP,PP,98,25,23,165,188,87.7659574468085,FALSE,88.09523809523809
74471,camara,ANDRÉ DE PAULA,PE,PSD,91,25,25,170,195,87.17948717948718,FALSE,91.73553719008265
133439,camara,ANDRÉ FIGUEIREDO,CE,PDT,76,27,143,65,208,31.25,FALSE,24.21875
178882,camara,ANDRÉ FUFUCA,MA,PP,241,7,9,54,63,85.71428571428571,FALSE,85
160553,camara,ANTONIO BRITO,BA,PSD,95,22,32,162,194,83.50515463917526,FALSE,85
73433,camara,ARLINDO CHINAGLIA,SP,PT,144,19,119,29,148,19.594594594594593,TRUE,17
141391,camara,ARNALDO JARDIM,SP,CIDADANIA,64,31,22,194,216,89.81481481481481,TRUE,91.6030534351145
160541,camara,ARTHUR LIRA,AL,PP,166,16,23,106,129,82.17054263565892,FALSE,85.54216867469879
160600,camara,ARTHUR OLIVEIRA MAIA,BA,DEM,126,13,12,160,172,93.02325581395348,TRUE,95.6140350877193
159237,camara,ASSIS CARVALHO,PI,PT,154,17,109,31,140,22.142857142857142,FALSE,18.75
74090,camara,ÁTILA LINS,AM,PP,94,24,29,164,193,84.97409326424871,FALSE,84.5528455284553
74459,camara,ÁTILA LIRA,PI,PP,31,29,23,228,251,90.83665338645417,FALSE,92.10526315789474
160665,camara,AUGUSTO COUTINHO,PE,SOLIDARIEDADE,145,20,19,127,146,86.98630136986301,FALSE,85.41666666666666
160512,camara,AUREO RIBEIRO,RJ,SOLIDARIEDADE,135,19,34,123,157,78.343949044586,FALSE,76.84210526315789
69871,camara,BACELAR,BA,PODEMOS,60,30,170,51,221,23.076923076923077,FALSE,22.48062015503876
178975,camara,BALEIA ROSSI,SP,MDB,121,19,25,146,171,85.38011695906432,FALSE,87.5
73701,camara,BENEDITA DA SILVA,RJ,PT,89,30,151,41,192,21.354166666666664,FALSE,18.01801801801802
141335,camara,BETO FARO,PA,PT,70,30,173,38,211,18.009478672985782,FALSE,15.555555555555555
178948,camara,BETO ROSADO,RN,PP,180,12,22,97,119,81.5126050420168,FALSE,83.52941176470588
160538,camara,BOHN GASS,RS,PT,64,31,179,37,216,17.12962962962963,FALSE,13.821138211382115
74052,camara,BOSCO COSTA,SE,PL,33,34,33,211,244,86.47540983606558,FALSE,88.19444444444444
160589,camara,BRUNA FURLAN,SP,PSDB,150,20,33,108,141,76.59574468085107,FALSE,76.81159420289855
93083,camara,CACÁ LEÃO,BA,PP,68,30,29,184,213,86.3849765258216,FALSE,88.23529411764706
178829,camara,CAPITÃO AUGUSTO,SP,PL,42,29,20,220,240,91.66666666666666,FALSE,92.99363057324841
141401,camara,CARLOS BEZERRA,MT,MDB,81,16,28,94,122,77.04918032786885,FALSE,81.53846153846153
178962,camara,CARLOS GOMES,RS,REPUBLICANOS,73,27,26,185,211,87.67772511848341,FALSE,90.1639344262295
178993,camara,CARLOS HENRIQUE GAGUIM,TO,DEM,21,35,29,226,255,88.62745098039215,FALSE,90.44585987261146
74262,camara,CARLOS SAMPAIO,SP,PSDB,146,14,15,136,151,90.06622516556291,FALSE,90.81632653061224
