sg_partido,media_aderencia
AVANTE,77.1255889355601
CIDADANIA,86.10598961106362
DEM,89.80465458100863
MDB,87.72501559471955
NOVO,92.82173976794222
PATRIOTA,90.8865343925198
PCdoB,27.125888194884723
PDT,43.24496901180695
PL,87.44813920252365
PMN,63.56275303643725
PODEMOS,81.01711904143453
PP,86.43030723046223
PROS,74.55247387251671
PSB,43.44835318547176
PSC,87.51939156224168
PSD,86.96147111707023
PSDB,89.93654227360396
PSL,97.904926175263
PSOL,16.731709078169427
PT,18.722242328500837
PTB,86.75061836838654
PV,66.74096690423123
REDE,35.714285714285715
REPUBLICANOS,85.66731206992245
SOLIDARIEDADE,84.53838307784739
