id_camara,id_senado,apelido,tema
257161,NA,Lei do Licenciamento Ambiental,Meio Ambiente
46249,41703,PL do Veneno,Meio Ambiente
345311,NA,Estatuto do Índio,Meio Ambiente
2085536,NA,Lei para Acabar Zona de Amortecimento,Meio Ambiente
2120775,NA,Política Governo de Redução de Agrotóxico,Meio Ambiente
2056568,NA,Indenização Propriedades Privadas em Unidades de Conservação,Meio Ambiente
1738598,NA,Criação da Área de Proteção Ambiental de Canavieiras,Meio Ambiente
14562,NA,Demarcações passam a ser competência exclusiva do Congresso,Meio Ambiente
2170839,NA,Lei do Pantanal - Molon,Meio Ambiente
944279,NA,Lei do Cerrado,Meio Ambiente
604557,NA,PNCMar,Meio Ambiente
