id_req,id,peso_arestas
14016,74419,1
14244,74784,1
14257,73778,1
14266,74784,1
14267,73448,1
14294,73893,1
14304,73466,1
14329,73989,1
14334,73666,1
14372,74571,1
14384,73778,1
14399,73783,1
14444,74784,1
14465,74784,1
14481,74771,1
14490,73466,1
14501,73451,1
14528,74360,1
14551,74703,1
14569,74784,1
14579,74248,1
14587,73780,1
14588,73485,1
14602,73586,1
14604,74582,1
14611,74793,1
14637,73906,1
14653,74099,1
14658,73776,1
14666,74700,1
14671,73466,1
14732,73420,1
14765,73567,1
14767,74419,1
14772,74419,1
14777,74647,1
14802,73565,1
14818,73531,1
14937,74082,1
14944,73764,0.5
14944,74082,0.5
14980,74792,1
14996,74780,1
14998,74769,1
15022,73893,1
15044,73466,1
15068,73463,0.5
15068,73466,0.5
15069,73443,1
15074,73579,1
15088,73427,1
15101,73893,1
15110,73466,1
15113,73910,1
15132,73794,1
15136,73906,1
15140,73579,1
15188,73466,1
15217,73466,1
15218,73466,1
15220,73466,1
15250,73466,1
15251,73466,1
15257,73910,1
15260,74124,1
15286,74659,1
15288,73893,1
15291,73893,1
15304,73466,1
15336,74801,1
15349,73893,1
15351,73893,1
15354,73893,1
15365,73893,1
15366,73893,1
15375,74780,0.5
15375,74792,0.5
15383,73466,1
15415,74298,1
15419,74016,1
15436,74851,1
15442,73466,1
15450,74672,1
15456,73466,1
15457,73466,1
15458,73466,1
15488,74802,1
15497,73464,1
15506,73466,1
15511,73893,1
15513,73893,1
15514,73893,1
15517,73893,1
15518,73893,1
15519,73893,1
15521,73893,1
15523,73893,1
15526,73893,1
15532,73910,1
15536,73893,1
15537,73893,1
15542,73893,1
15543,73443,1
15547,74765,1
15594,73466,1
15595,73466,1
15597,74559,1
15624,74560,1
15646,74475,1
15666,73893,1
15673,74676,1
15682,74571,1
15694,73584,1
15711,73580,1
15743,74189,1
15749,74316,1
15754,73557,1
15758,73469,1
15764,73459,1
15767,74297,1
15780,74789,1
15781,74295,1
15785,73442,1
15791,74465,1
15800,73889,1
