id_parlamentar,casa,nome_eleitoral,uf,partido_atual,partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
160508,camara,AFONSO FLORENCE,BA,PT,PT,900000,1077143.55,0.00955583682541757
136811,camara,AFONSO HAMM,RS,PP,PP,1492040,1552840,0.0117156268151458
178835,camara,AFONSO MOTTA,RS,PDT,PDT,500000,1598351.3,0.0265906922026616
160527,camara,AGUINALDO RIBEIRO,PB,PP,PP,1244054.32,1620539.02,0.00889089533298455
178836,camara,ALAN RICK,AC,DEM,DEM,825300,932786.4,0.00863735035860527
160559,camara,ALCEU MOREIRA,RS,MDB,MDB,1500000,1999910.32,0.0117712051115445
160511,camara,ALESSANDRO MOLON,RJ,PSB,PSB,1300000,1444606.01,0.0347477631765801
178972,camara,ALEX MANENTE,SP,CIDADANIA,CIDADANIA,1227228.11,1370803.11,0.0749809688184228
160545,camara,ALEXANDRE LEITE,SP,DEM,DEM,875000,1597273.7,0.0217422759652827
178833,camara,ALEXANDRE SERFIOTIS,RJ,PSD,PSD,1050000,1073450.93,0.028648470468858
74057,camara,ALICE PORTUGAL,BA,PCdoB,PCdoB,1448438.23,1712765.9,0.078907192089703
178927,camara,ALIEL MACHADO,PR,PSB,PSB,1350000,1450777.23,0.0233079289110365
178937,camara,ALTINEU CÔRTES,RJ,PL,PL,1354335,1368651.41,0.0193888300064042
178881,camara,ALUISIO MENDES,MA,PSC,PODEMOS,605000,874910.72,0.0229696657012357
178831,camara,ANDRÉ ABDON,AP,PP,PP,1634541,1677925.45,0.0106322925947599
74471,camara,ANDRÉ DE PAULA,PE,PSD,PSD,1049910,1296683.14,0.0167441531070431
133439,camara,ANDRÉ FIGUEIREDO,CE,PDT,PDT,720000,822615,0.0359035630963812
178882,camara,ANDRÉ FUFUCA,MA,PP,PP,2308488,2361961,0.0155030906053734
160553,camara,ANTONIO BRITO,BA,PSD,PSD,800000,1023420.8,0.0127580728969784
73433,camara,ARLINDO CHINAGLIA,SP,PT,PT,902796.23,1743619.08,0.0127280204195462
141391,camara,ARNALDO JARDIM,SP,CIDADANIA,CIDADANIA,1228028.11,2297998.1,0.0750298470787608
160541,camara,ARTHUR LIRA,AL,PP,PP,1677758,1741793.16,0.00819367885655784
160600,camara,ARTHUR OLIVEIRA MAIA,BA,DEM,DEM,940250,1451250,0.0175952475762009
159237,camara,ASSIS CARVALHO,PI,PT,PT,905000,969720,0.00717586462028929
74090,camara,ÁTILA LINS,AM,PP,PP,1897386,2029855.21,0.0139826378734999
74459,camara,ÁTILA LIRA,PI,PP,PSB,1300000,1390743.35,0.015167333842705
160665,camara,AUGUSTO COUTINHO,PE,SOLIDARIEDADE,SOLIDARIEDADE,905400,1111088.77,0.0346266945605121
160512,camara,AUREO RIBEIRO,RJ,SOLIDARIEDADE,SOLIDARIEDADE,1365372.24,1932932.48,0.0893352056441627
69871,camara,BACELAR,BA,PODEMOS,PODEMOS,840000,965750.47,0.038912146122859
178975,camara,BALEIA ROSSI,SP,MDB,MDB,1600000,1602000,0.0173982978152659
73701,camara,BENEDITA DA SILVA,RJ,PT,PT,1000000,1049233.54,0.0181653288536745
141335,camara,BETO FARO,PA,PT,PT,900000,923100,0.00648165019466255
178948,camara,BETO ROSADO,RN,PP,PP,1287550,1335286,0.00978639569356462
160538,camara,BOHN GASS,RS,PT,PT,900000,1132680.1,0.00915706983471061
74052,camara,BOSCO COSTA,SE,PL,PL,2100000,2130630,0.020118592440291
160589,camara,BRUNA FURLAN,SP,PSDB,PSDB,1807476.59,2507376.59,0.0295810935280358
93083,camara,CACÁ LEÃO,BA,PP,PP,1783274,2268584,0.0146121909765624
178829,camara,CAPITÃO AUGUSTO,SP,PL,PL,2167132.75,2192352.75,0.0240790239260139
141401,camara,CARLOS BEZERRA,MT,MDB,MDB,1591600,1883972.35,0.00965020953832466
178962,camara,CARLOS GOMES,RS,REPUBLICANOS,PRB,890594.35,902764.35,0.0103543302022457
178993,camara,CARLOS HENRIQUE GAGUIM,TO,DEM,DEM,740000,1028888.15,0.011381793243766
74262,camara,CARLOS SAMPAIO,SP,PSDB,PSDB,0,1818666.48,0
141398,camara,CARLOS ZARATTINI,SP,PT,PT,902796.23,1382109.93,0.0127280204195462
164360,camara,CARMEN ZANOTTO,SC,CIDADANIA,CIDADANIA,1188128.11,1244707.48,0.0555920334027412
178876,camara,CÉLIO SILVEIRA,GO,PSDB,PSDB,1000000,1266100,0.0112762578019863
141405,camara,CELSO MALDANER,SC,MDB,MDB,1300000,1747019.89,0.0108256421149727
73441,camara,CELSO RUSSOMANNO,SP,REPUBLICANOS,PRB,2028000,2157533.84,0.0326713541559293
141439,camara,CHICO D'ANGELO,RJ,PDT,PDT,500000,609701.48,0.0474743350574333
178928,camara,CHRISTIANE DE SOUZA YARED,PR,PL,PL,2418870,2499683.32,0.0223678604629793
178939,camara,CLARISSA GAROTINHO,RJ,PROS,PROS,1087815,1983941.5,0.0699610864075865
74537,camara,CLAUDIO CAJADO,BA,PP,PP,2052632,2235342,0.0168193170475222
141411,camara,DAGOBERTO NOGUEIRA,MS,PDT,PDT,580000,1840819,0.0353664009058207
74467,camara,DAMIÃO FELICIANO,PB,PDT,PDT,570000,582517.2,0.0275902467826733
74060,camara,DANIEL ALMEIDA,BA,PCdoB,PCdoB,1361897.64,1681998.94,0.074192683167436893
178916,camara,DANIEL COELHO,PE,CIDADANIA,CIDADANIA,1302797.57,1450662.89,0.0599478765386732
160528,camara,DANILO CABRAL,PE,PSB,PSB,1320973.91,1356223.91,0.0206384327217112
160552,camara,DANRLEI DE DEUS HINTERHOLZ,RS,PSD,PSD,1050000,1051478.47,0.0160461996864803
73891,camara,DARCÍSIO PERONDI,RS,MDB,MDB,1500000,1540304.5,0.0117712051115445
178908,camara,DELEGADO ÉDER MAURO,PA,PSD,PSD,915358.8,941876.87,0.0099015530188845
164359,camara,DELEGADO WALDIR,GO,PSL,PSL,420000,495539.25,0.0611885204161966
160588,camara,DIEGO ANDRADE,MG,PSD,PSD,1063168.97,1562760.96,0.0184613627125985
178929,camara,DIEGO GARCIA,PR,PODEMOS,PODEMOS,504760,508200,0.0258401061980308
160599,camara,DIMAS FABIANO,MG,PP,PP,2341369,2367961.4,0.0208897621926018
143632,camara,DOMINGOS NETO,CE,PSD,PSD,885000,1073020,0.012681527841151
160758,camara,DOMINGOS SÁVIO,MG,PSDB,PSDB,1002000,1937791.19,0.0134471647033934
178994,camara,DULCE MIRANDA,TO,MDB,MDB,2360000,2468800,0.01588476530641
141417,camara,EDIO LOPES,RR,PL,PL,1800000,1851184,0.0183972555094154
134812,camara,EDMILSON RODRIGUES,PA,PSOL,PSOL,538946.99,740751.79,0.0473346550421881
74655,camara,EDUARDO BARBOSA,MG,PSDB,PSDB,501126.03,1262786.03,0.00672527371513741
92346,camara,EDUARDO BOLSONARO,SP,PSL,PSL,65142.56,218330.58,0.0137740618936482
178977,camara,EDUARDO CURY,SP,PSDB,PSDB,502250,842250,0.00821980450903431
