id_proposicao,obj_votacao,data,cod_sessao,hora,id_votacao
16526,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-06-17,16839,22:11,168392211
16526,REQUERIMENTO DE RETIRADA DE PAUTA,2019-06-17,16839,19:26,168391926
16526,DTQ 9 - NOVO - ART. 25 DO SUBSTITUTIVO,2019-09-11,16923,17:19,169231719
16526,DTQ 21 - PCdoB - EMENDA Nº 48,2019-09-11,16923,19:43,169231943
16526,DTQ 15 - PSD - EMENDA Nº 36,2019-09-11,16924,20:27,169242027
16526,DTQ 13 - REPUBLICANOS - EMENDA Nº 3,2019-09-11,16924,20:55,169242055
16526,"DTQ 27 - PDT - EXP. ""... EM PERCENTUAL EQUIVALENTE A ATÉ 30%..."" - ART. 97",2019-09-17,16928,18:34,169281834
28692,DTQ. 7 - BL. PDT - §1º DO ART. 2º DA SUBEMENDA SUBSTITUTIVA,2019-03-12,16747,19:11,167471911
28692,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-03-12,16747,17:44,167471744
358126,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-12-09,17013,20:52,170132052
358126,REQUERIMENTO DE RETIRADA DE PAUTA,2019-12-09,17014,21:42,170142142
516111,EMENDA AGLUTINATIVA Nº 1,2019-06-05,16828,12:45,168281245
516111,PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO,2019-06-05,16828,13:34,168281334
516111,EMENDA DE REDAÇÃO Nº 1,2019-06-05,16828,13:22,168281322
946494,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-03-26,16761,21:20,167612120
946494,"DTQ. 1 - BLOCO PSL - §11 DO ART. 165, CONST. DO ART. 1º DO SUBSTITUTIVO",2019-03-26,16761,21:04,167612104
946494,"DTQ. 2 - BLOCO PSL - EXP. ""NOS TERMOS DE LEI COMPLEMENTAR"", ...",2019-03-26,16761,21:09,167612109
946494,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-03-26,16761,20:52,167612052
