id_parlamentar,casa,id_legislatura,data_inicio,data_fim,situacao,cod_causa_fim_exercicio,desc_causa_fim_exercicio
5154,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5154,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5170,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5170,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5140,senado,54,2011-02-01,2015-01-31,1º Suplente,2827,Retorno do titular
5140,senado,55,2015-02-01,2019-01-31,1º Suplente,2827,Retorno do titular
846,senado,54,2011-02-01,2015-01-31,Titular,2883,Término do mandato
846,senado,55,2015-02-01,2019-01-31,Titular,2883,Término do mandato
5042,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5042,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
4988,senado,54,2011-02-01,2015-01-31,Titular,2581,Término do mandato
4988,senado,55,2015-02-01,2019-01-31,Titular,2581,Término do mandato
5046,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5046,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5150,senado,54,2011-02-01,2015-01-31,1º Suplente,2671,Retorno do titular
5150,senado,55,2015-02-01,2019-01-31,1º Suplente,2671,Retorno do titular
3,senado,50,1995-02-01,1999-01-31,Titular,166,Término do mandato
3,senado,51,1999-02-01,2003-01-31,Titular,166,Término do mandato
3,senado,52,2003-02-01,2007-01-31,Titular,1750,Término do mandato
3,senado,53,2007-02-01,2011-01-31,Titular,1750,Término do mandato
3,senado,54,2011-02-01,2015-01-31,Titular,2847,Término do mandato
3,senado,55,2015-02-01,2019-01-31,Titular,2847,Término do mandato
5134,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5134,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5032,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5032,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5168,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5168,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
5028,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5028,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
715,senado,54,2011-02-01,2015-01-31,Titular,2777,Término do mandato
715,senado,55,2015-02-01,2019-01-31,Titular,2777,Término do mandato
5164,senado,54,2011-02-01,2015-01-31,1º Suplente,2691,Término do mandato
5164,senado,55,2015-02-01,2019-01-31,1º Suplente,2691,Término do mandato
5138,senado,54,2011-02-01,2015-01-31,2º Suplente,NA,NA
5138,senado,55,2015-02-01,2019-01-31,2º Suplente,NA,NA
391,senado,54,2011-02-01,2015-01-31,Titular,2834,Término do mandato
391,senado,55,2015-02-01,2019-01-31,Titular,2834,Término do mandato
3823,senado,54,2011-02-01,2015-01-31,Titular,2875,Término do mandato
3823,senado,55,2015-02-01,2019-01-31,Titular,2875,Término do mandato
111,senado,50,1995-02-01,1999-01-31,1º Suplente,724,Retorno do titular
111,senado,51,1999-02-01,2003-01-31,1º Suplente,724,Retorno do titular
111,senado,54,2011-02-01,2015-01-31,Titular,2882,Término do mandato
111,senado,55,2015-02-01,2019-01-31,Titular,2882,Término do mandato
