id_req,id,peso_arestas
2209336,204519,1
2190460,204499,1
2190584,204530,1
2197455,74159,1
2190580,204496,1
2190690,204508,1
2190896,164360,1
2190943,178832,1
2190946,178832,1
2191326,204552,1
2192577,204488,1
2203574,204494,1
2192939,204444,1
2195050,178986,1
2199370,204457,1
2204560,204488,1
2190446,160511,0.1
2190446,204525,0.1
2190446,204561,0.1
2190446,204405,0.1
2190446,204371,0.1
2190446,160528,0.1
2190446,204530,0.1
2190446,178927,0.1
2190446,204542,0.1
2190446,204429,0.1
2192214,204371,1
2190448,160511,0.125
2190448,204561,0.125
2190448,160528,0.125
2190448,204405,0.125
2190448,204542,0.125
2190448,204530,0.125
2190448,178927,0.125
2190448,204429,0.125
2192938,204444,1
2190449,160518,0.3333333333333333
2190449,160511,0.3333333333333333
2190449,178927,0.3333333333333333
2196716,178912,1
2190458,160518,0.5
2190458,178927,0.5
2190461,204381,0.5
2190461,178927,0.5
2190474,204494,1
2190475,204494,1
2190483,204494,1
2192334,204421,1
2190484,204494,1
2197190,204494,1
2190485,204494,1
2190486,204494,1
2195408,204494,1
2190487,204494,1
2190488,204494,1
2190490,204494,1
2190491,204494,1
2190492,204494,1
2190493,204494,1
2190563,204530,1
2190569,178989,1
2190621,178964,1
2190934,178901,1
2190983,160559,1
2190623,178964,1
2191410,122974,1
2190626,204391,1
2190630,204391,1
2190646,204391,1
2190647,204494,1
2190679,204494,1
2190681,204494,1
2190682,204494,1
2190696,204480,1
2191682,73696,1
2194289,204471,1
2194972,204435,1
2190767,204497,1
2190779,204488,1
2192582,204488,1
2194030,178836,1
2190781,74371,1
2190782,74371,1
2190787,74371,1
2190802,74371,1
2190808,74371,1
2190810,74371,1
2190838,74371,1
2190843,74371,1
2190850,204421,1
2190872,74371,1
2191623,178854,1
2190885,160535,1
2191242,178873,1
2191728,74305,1
2191813,178858,1
2191969,178871,1
2192110,178921,1
2192211,160570,1
2195336,160508,0.5
2195336,160538,0.5
2196886,160508,0.5
2196886,160538,0.5
2196969,160538,1
2197430,160538,1
2190884,178964,1
2190933,178901,1
2190944,178832,1
2190945,178832,1
2190986,160559,1
2190988,160559,1
2190989,160559,1
2190994,107283,1
2191450,178963,1
2191473,74400,1
2191476,164359,1
2191513,137070,1
2191516,204468,1
2191534,160673,1
2191571,204480,1
2191621,204354,1
2191628,74161,1
2191633,160640,1
2200268,141555,1
2203210,204449,1
2203486,92102,1
2191650,162332,1
2193615,204421,1
2196766,204504,1
2206658,73441,1
2191651,162332,1
2191655,162332,1
2196506,160570,1
2191668,160570,1
2191694,178874,1
2191833,204488,1
2191854,204494,1
2191876,160587,1
2191882,178925,1
2191919,178920,1
2191920,178920,1
2191923,178920,1
2192045,204530,1
2192099,178887,1
2205072,205865,1
2192105,205865,1
2192259,204479,1
2201537,160632,0.1111111111111111
2201537,160556,0.1111111111111111
2201537,204515,0.1111111111111111
2201537,204547,0.1111111111111111
2201537,204518,0.1111111111111111
2201537,204491,0.1111111111111111
2201537,204508,0.1111111111111111
2201537,73586,0.1111111111111111
2201537,204539,0.1111111111111111
2205046,160632,1
2192260,204479,1
2192263,204472,1
2192314,204488,1
2194461,204488,1
2192360,204538,1
2192375,73486,1
2192422,204386,1
2192427,141450,1
2196676,204488,1
2192431,160545,1
2192438,204457,1
2192484,160587,1
2192487,204403,1
2192489,204403,1
2192529,204488,1
2192530,204488,1
2192532,204488,1
2193220,74585,1
2192575,204488,1
2192576,204488,1
2199158,160575,1
2192578,204488,1
2192579,204488,1
2192580,204488,1
2210313,204396,1
2192602,204396,1
2192606,204536,1
2199285,72442,1
2192654,160655,1
2192676,178832,1
2197426,72442,1
2192893,204472,1
2194031,204395,1
2192897,204472,1
2192964,204421,1
2207266,204494,1
2210184,204494,1
2210187,204494,1
2210188,204494,1
2210189,204494,1
2210191,204494,1
2210192,204494,1
2210193,204494,1
2210750,204488,1
2200624,160541,1
2192978,204494,1
2192984,204488,1
2205110,204505,1
2192985,204488,1
2193043,204488,1
2193076,204503,1
2193081,204566,1
2193097,74371,1
2193098,74371,1
2193121,204435,1
2193143,204356,1
2193179,159237,1
2193190,178954,1
2193191,168175,1
2193221,74585,1
2193241,73604,1
2193271,143084,1
2193297,168175,1
2193315,122974,1
2193330,160587,1
2193334,204524,1
2193350,204351,1
2193386,74305,1
2193395,204457,1
2193397,204457,1
2199060,141508,1
2208196,204398,1
2193479,204514,1
2193502,204449,1
2193563,178889,1
2193604,204488,1
2193607,204488,1
2193613,204496,1
2198592,204553,1
2193642,72442,1
2193693,74305,1
2193752,166402,1
2195806,204437,1
2193773,194260,1
2193808,160655,1
2193824,204488,1
2199519,204488,1
2193825,204488,1
2193856,178921,1
2193912,168175,1
2193952,178986,1
2193953,178986,1
2194103,204472,1
2194110,204499,1
2197532,191923,1
2198511,74467,1
2194251,204570,1
2194274,122974,1
2194864,160674,1
2194441,160665,1
2194455,160512,1
2194541,178931,1
2194782,204391,1
2196469,204444,1
2194792,204517,1
2194794,204419,1
2205284,122974,1
2194813,122974,1
2203625,204455,1
2208621,160632,1
2191327,204552,1
2195484,204491,1
2203509,74646,1
2201533,160632,0.09090909090909091
2201533,160556,0.09090909090909091
2201533,74156,0.09090909090909091
2201533,204515,0.09090909090909091
2201533,204491,0.09090909090909091
2201533,204547,0.09090909090909091
2201533,204509,0.09090909090909091
2201533,204508,0.09090909090909091
2201533,204518,0.09090909090909091
2201533,73586,0.09090909090909091
2201533,204539,0.09090909090909091
2205051,160632,1
2206599,204480,1
2195014,204471,1
2195047,204488,1
2195113,160673,1
2195203,204572,1
2195410,204500,1
2195940,204463,1
2195525,204463,1
2195536,204511,1
2195611,160535,1
2204570,160575,1
2195634,159237,1
2195731,204496,1
2195744,72442,1
2195829,74305,1
2195855,204479,1
2195866,204488,1
2195908,204400,1
2196364,161550,1
2196375,204399,1
2196462,204444,1
2206446,204511,1
2196466,204444,1
2200776,160655,1
2196468,204444,1
2196470,204444,1
2196486,204480,1
2196673,204488,1
2196674,204488,1
2196675,204488,1
2196678,204488,1
2196688,204524,1
2196732,204359,1
2196814,178989,1
2196815,178989,1
2196818,178989,1
2196952,204488,1
2196953,204488,1
2196985,178873,1
2196994,178986,0.2
2196994,178970,0.2
2196994,74160,0.2
2196994,160535,0.2
2196994,160610,0.2
2197077,204460,1
2197198,204411,1
2197427,204496,1
2197458,121948,1
2199871,74419,1
2203197,141428,1
2206743,98057,1
2197694,160512,1
2206498,160635,1
2197747,160635,1
2197787,204421,1
2197795,204421,1
2199545,204361,1
2197910,178934,1
2200850,74398,1
2204065,204480,1
2197918,160511,1
2198006,204499,1
2198177,72442,1
2198136,72442,1
2198161,204505,1
2198163,204517,1
2198218,74158,1
2201585,204536,1
2198231,204532,0.14285714285714285
2198231,204516,0.14285714285714285
2198231,204528,0.14285714285714285
2198231,204519,0.14285714285714285
2198231,204365,0.14285714285714285
2198231,156190,0.14285714285714285
2198231,204461,0.14285714285714285
2198325,204488,1
2198326,204488,1
2198329,204488,1
2206296,204488,1
2198331,204488,1
2198334,204488,1
2198335,204488,1
2198336,204488,1
2198438,204471,1
2198500,178970,1
2198528,204489,1
2198921,204397,1
2198945,107283,1
2199052,204496,1
2199057,204386,1
2199161,204353,0.3333333333333333
2199161,160645,0.3333333333333333
2199161,204505,0.3333333333333333
2199180,178833,1
2199215,160651,1
2199455,204471,1
2199467,133968,1
2199484,204423,1
2199510,204488,1
2205604,205865,1
2199520,204488,1
2199637,72442,1
2199638,72442,1
2199673,204553,1
2204121,204488,1
2199980,72442,1
2200103,178970,1
2200109,133968,1
2200397,204488,1
2200403,204488,1
2200414,204488,1
2200425,204456,1
2200464,178986,1
2200631,141459,1
2200684,122974,1
2201514,160673,1
2205052,160632,1
2207114,160632,1
2201526,160632,0.08333333333333333
2201526,160556,0.08333333333333333
2201526,74156,0.08333333333333333
2201526,204491,0.08333333333333333
2201526,204515,0.08333333333333333
2201526,204509,0.08333333333333333
2201526,198197,0.08333333333333333
2201526,204508,0.08333333333333333
2201526,204547,0.08333333333333333
2201526,204518,0.08333333333333333
2201526,204480,0.08333333333333333
2201526,204539,0.08333333333333333
2209196,178962,1
2209198,178962,1
2209257,204544,1
2205050,160632,1
2201529,160632,0.08333333333333333
2201529,74156,0.08333333333333333
2201529,198197,0.08333333333333333
2201529,204491,0.08333333333333333
2201529,204508,0.08333333333333333
2201529,204509,0.08333333333333333
2201529,73586,0.08333333333333333
2201529,204539,0.08333333333333333
2201529,204518,0.08333333333333333
2201529,204523,0.08333333333333333
2201529,204480,0.08333333333333333
2201529,160556,0.08333333333333333
2205054,160632,1
2201532,160632,0.08333333333333333
2201532,73586,0.08333333333333333
2201532,204518,0.08333333333333333
2201532,160556,0.08333333333333333
2201532,74156,0.08333333333333333
2201532,204515,0.08333333333333333
2201532,204509,0.08333333333333333
2201532,204508,0.08333333333333333
2201532,198197,0.08333333333333333
2201532,204547,0.08333333333333333
2201532,204539,0.08333333333333333
2201532,204491,0.08333333333333333
2205053,160632,1
2201538,160632,0.07692307692307693
2201538,73586,0.07692307692307693
2201538,204515,0.07692307692307693
2201538,204518,0.07692307692307693
2201538,204491,0.07692307692307693
2201538,204509,0.07692307692307693
2201538,204508,0.07692307692307693
2201538,204539,0.07692307692307693
2201538,74156,0.07692307692307693
2201538,204547,0.07692307692307693
2201538,198197,0.07692307692307693
2201538,160556,0.07692307692307693
2201538,204480,0.07692307692307693
2205048,160632,1
2201539,160632,0.09090909090909091
2201539,74156,0.09090909090909091
2201539,204491,0.09090909090909091
2201539,73586,0.09090909090909091
2201539,204509,0.09090909090909091
2201539,198197,0.09090909090909091
2201539,204515,0.09090909090909091
2201539,204508,0.09090909090909091
2201539,204547,0.09090909090909091
2201539,204518,0.09090909090909091
2201539,204539,0.09090909090909091
2204127,204488,1
2201750,204408,1
2206445,204511,1
2201751,204408,1
2201754,204408,1
2203128,72442,1
2203150,67138,1
2203166,204469,1
2203390,204510,1
2203408,204361,1
2203466,204500,1
2203522,204570,1
2203624,204455,1
2203668,204411,1
2209244,204536,1
2203976,204472,1
2204001,194260,1
2204062,207176,1
2206314,198783,1
2208374,204540,1
2204113,204488,1
2204115,204488,1
2204123,204488,1
2204216,204449,1
2204273,204454,1
2204328,204511,1
2204437,204405,1
2204499,160552,1
2204534,133968,1
2206681,204530,1
2204604,137070,1
2204946,204471,1
2205107,204505,1
2205109,204505,1
2205239,178993,1
2205263,72442,1
2205632,178871,0.5
2205632,204371,0.5
2205845,204371,1
2205729,178990,1
2206735,160508,0.16666666666666666
2206735,74057,0.16666666666666666
2206735,178922,0.16666666666666666
2206735,74060,0.16666666666666666
2206735,133439,0.16666666666666666
2206735,160511,0.16666666666666666
2205287,92699,1
2205374,178921,1
2205470,204421,1
2205521,178863,1
2205603,204496,1
2206089,73441,1
2206299,204488,1
2206302,204488,1
2206303,204488,1
2206354,204525,1
2206396,204575,1
2206405,74044,1
2206435,160534,1
2206610,178873,1
2206632,74158,1
2206678,204530,1
2206680,204530,1
2206683,204530,0.5
2206683,204525,0.5
2206756,141421,1
2206889,188097,1
2206973,204457,1
2207026,204393,1
2207060,178839,1
2207090,204397,1
2207121,204502,1
2207429,178832,1
2207468,141552,1
2207498,204573,1
2207557,160518,1
2191225,178884,1
