id,nome_eleitoral,sg_partido,uf
178957,ABEL MESQUITA JR.,DEM,RR
178864,ADAIL CARNEIRO,PODEMOS,CE
178914,ADALBERTO CAVALCANTI,AVANTE,PE
178890,ADELMO CARNEIRO LEÃO,PT,MG
178968,ADELSON BARRETO,PL,SE
133374,ADEMIR CAMILO,MDB,MG
196359,ADÉRMIS MARINI,PSDB,SP
178903,ADILTON SACHETTI,PRB,MT
141372,AELTON FREITAS,PL,MG
160508,AFONSO FLORENCE,PT,BA
136811,AFONSO HAMM,PP,RS
178835,AFONSO MOTTA,PDT,RS
160527,AGUINALDO RIBEIRO,PP,PB
178836,ALAN RICK,DEM,AC
160582,ALBERTO FILHO,PP,MA
73579,ALBERTO FRAGA,DEM,DF
160559,ALCEU MOREIRA,MDB,RS
160511,ALESSANDRO MOLON,PSB,RJ
73458,ALEX CANZIANI,PTB,PR
178972,ALEX MANENTE,CIDADANIA,SP
178875,ALEXANDRE BALDY,PP,GO
160545,ALEXANDRE LEITE,DEM,SP
178833,ALEXANDRE SERFIOTIS,PSD,RJ
178936,ALEXANDRE VALLE,PL,RJ
141454,ALFREDO KAEFER,PP,PR
178846,ALFREDO NASCIMENTO,PL,AM
74057,ALICE PORTUGAL,PCdoB,BA
178927,ALIEL MACHADO,PSB,PR
178937,ALTINEU CÔRTES,PL,RJ
178881,ALUISIO MENDES,PODEMOS,MA
178973,ANA PERUGINI,PT,SP
160551,ANDERSON FERREIRA,PL,PE
178831,ANDRÉ ABDON,PP,AP
195143,ANDRÉ AMARAL,PROS,PB
74471,ANDRÉ DE PAULA,PSD,PE
133439,ANDRÉ FIGUEIREDO,PDT,CE
178882,ANDRÉ FUFUCA,PP,MA
160543,ANDRE MOURA,PSC,SE
141379,ANDREIA ZITO,PSDB,RJ
178974,ANDRES SANCHEZ,PT,SP
192120,ANGELA ALBINO,PCdoB,SC
178837,ANGELIM,PT,AC
74212,ANÍBAL GOMES,DEM,CE
74213,ANTONIO BALHMANN,PDT,CE
160553,ANTONIO BRITO,PSD,BA
141383,ANTONIO BULHÕES,PRB,SP
73584,ANTONIO CARLOS MENDES THAME,PV,SP
160530,ANTONIO IMBASSAHY,PSDB,BA
178950,ANTÔNIO JÁCOME,PODEMOS,RN
74103,ARIOSTO HOLANDA,PDT,CE
73433,ARLINDO CHINAGLIA,PT,SP
73434,ARNALDO FARIA DE SÁ,PP,SP
141391,ARNALDO JARDIM,CIDADANIA,SP
160602,ARNALDO JORDY,CIDADANIA,PA
74291,ARNON BEZERRA,PTB,CE
74833,AROLDE DE OLIVEIRA,PSD,RJ
160541,ARTHUR LIRA,PP,AL
160600,ARTHUR OLIVEIRA MAIA,DEM,BA
178847,ARTHUR VIRGÍLIO BISNETO,PSDB,AM
159237,ASSIS CARVALHO,PT,PI
74378,ASSIS DO COUTO,PDT,PR
160581,ASSIS MELO,PCdoB,RS
193165,ÁTILA A. NUNES,MDB,RJ
74090,ÁTILA LINS,PP,AM
74459,ÁTILA LIRA,PSB,PI
73655,AUGUSTO CARVALHO,SOLIDARIEDADE,DF
160665,AUGUSTO COUTINHO,SOLIDARIEDADE,PE
160512,AUREO RIBEIRO,SOLIDARIEDADE,RJ
69871,BACELAR,PODEMOS,BA
178975,BALEIA ROSSI,MDB,SP
178834,BEBETO,PSB,BA
73701,BENEDITA DA SILVA,PT,RJ
74535,BENITO GAMA,PTB,BA
74040,BENJAMIN MARANHÃO,MDB,PB
178915,BETINHO GOMES,PSDB,PE
141335,BETO FARO,PT,PA
73437,BETO MANSUR,MDB,SP
178948,BETO ROSADO,PP,RN
178906,BETO SALAME,PP,PA
141513,BILAC PINTO,DEM,MG
160538,BOHN GASS,PT,RS
74650,BONIFÁCIO DE ANDRADA,DEM,MG
74052,BOSCO COSTA,PL,SE
160589,BRUNA FURLAN,PSDB,SP
178999,BRUNNY,PL,MG
141394,BRUNO ARAÚJO,PSDB,PE
178976,BRUNO COVAS,PSDB,SP
178938,CABO DACIOLO,PATRI,RJ
178865,CABO SABINO,AVANTE,CE
105112,CABUÇU BORGES,MDB,AP
93083,CACÁ LEÃO,PP,BA
178853,CAETANO,PT,BA
178891,CAIO NARCIO,PSDB,MG
194261,CAJAR NARDES,PODEMOS,RS
178829,CAPITÃO AUGUSTO,PL,SP
178924,CAPITÃO FÁBIO ABREU,PL,PI
205303,CARLA STEPHANINI,MDB,MS
178958,CARLOS ANDRADE,PHS,RR
141401,CARLOS BEZERRA,MDB,MT
74474,CARLOS EDUARDO CADOCA,PDT,PE
178962,CARLOS GOMES,PRB,RS
178993,CARLOS HENRIQUE GAGUIM,DEM,TO
74163,CARLOS MANATO,PSL,ES
178900,CARLOS MARUN,MDB,MS
74651,CARLOS MELLES,DEM,MG
74262,CARLOS SAMPAIO,PSDB,SP
73934,CARLOS SOUZA,PSDB,AM
141398,CARLOS ZARATTINI,PT,SP
164360,CARMEN ZANOTTO,CIDADANIA,SC
178876,CÉLIO SILVEIRA,PSDB,GO
73568,CELSO JACOB,MDB,RJ
141405,CELSO MALDANER,MDB,SC
72912,CELSO PANSERA,PT,RJ
73441,CELSO RUSSOMANNO,PRB,SP
160576,CÉSAR HALUM,PRB,TO
178838,CÉSAR MESSIAS,PSB,AC
73720,CESAR SOUZA,PSD,SC
74171,CHICO ALENCAR,PSOL,RJ
141439,CHICO D'ANGELO,PDT,RJ
141440,CHICO LOPES,PCdoB,CE
178928,CHRISTIANE DE SOUZA YARED,PL,PR
178841,CÍCERO ALMEIDA,PHS,AL
178939,CLARISSA GAROTINHO,PROS,RJ
74537,CLAUDIO CAJADO,PP,BA
141408,CLEBER VERDE,PRB,MA
74230,COLBERT MARTINS,MDB,BA
178848,CONCEIÇÃO SAMPAIO,PSDB,AM
205302,CORONEL BITTENCOURT,PRB,MS
178963,COVATTI FILHO,PP,RS
194258,CREUZA PEREIRA,PSB,PE
93472,CRISTIANE BRASIL,PTB,RJ
141411,DAGOBERTO NOGUEIRA,PDT,MS
74467,DAMIÃO FELICIANO,PDT,PB
178892,DÂMINA PEREIRA,PODEMOS,MG
